COTTINGHAM - DUNSWELL PUMPING STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA069350,Long,-0.378,Lat,53.800,Elevation,6,ft,,,,,,,,,,,,,,,,,,,
Station no,3395/8,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.82,3.18,3.03,1.92,3.97,1.44,2.53,2.78,3.33,1.82,3.13,2.17,2.01,4.45,0.84,1.16,1.82,1.80,0.88,1.70,1.43,4.87,1.43,2.20,2.18,4.86
February,,2.93,2.51,2.49,0.83,1.02,1.59,2.50,1.26,0.19,1.93,1.84,2.09,3.64,0.97,0.60,3.52,2.61,0.67,1.71,2.06,1.94,1.62,2.22,4.09,0.19,1.90
March,,0.67,0.95,2.23,0.16,2.12,1.46,2.83,0.78,0.31,0.27,0.64,1.48,4.33,0.49,0.95,1.01,2.98,2.44,0.49,2.00,2.26,1.42,1.33,1.78,1.35,1.11
April,,2.06,1.86,3.51,0.33,1.22,1.59,1.11,1.00,0.88,2.68,1.61,0.97,1.19,1.78,1.86,2.41,1.15,1.25,2.14,0.26,0.66,1.30,0.35,1.01,2.61,1.12
May,,0.40,1.49,3.16,3.17,1.60,1.16,1.37,3.00,2.71,1.42,1.07,1.73,0.48,1.97,1.27,2.27,4.54,1.52,1.88,2.17,3.01,0.77,0.93,2.43,0.35,0.71
June,,2.74,4.04,1.34,1.99,3.17,0.51,0.26,1.35,1.44,1.75,2.34,2.42,2.26,4.10,0.47,1.31,1.31,2.18,2.57,1.48,2.33,2.59,2.57,3.68,0.67,0.26
July,,0.25,3.75,2.30,4.35,2.15,5.51,3.73,1.98,1.09,2.38,0.89,2.48,1.03,0.89,1.95,2.93,1.20,2.03,1.97,1.56,1.05,3.89,3.11,3.50,1.60,3.32
August,,1.58,1.13,0.84,2.67,2.03,0.78,2.30,1.52,2.93,3.72,2.65,3.68,0.59,3.64,1.81,3.23,6.10,1.40,2.28,5.74,1.05,5.92,3.73,2.21,0.30,3.23
September,,3.96,2.08,1.06,1.69,0.91,0.82,0.93,2.38,4.63,3.69,0.78,4.00,1.10,1.61,1.17,2.86,1.01,3.39,0.59,2.44,0.78,1.48,3.05,2.00,0.09,2.17
October,1.23,3.64,2.11,1.92,3.34,3.49,3.45,2.81,1.38,1.31,2.22,2.30,1.31,0.64,1.64,2.55,1.36,0.89,2.18,1.64,4.50,1.60,1.04,1.50,1.68,2.01,6.21
November,1.94,3.92,2.77,2.76,2.40,3.40,3.93,2.33,1.15,2.29,3.94,0.93,5.22,1.58,0.87,4.04,4.54,3.56,2.73,1.94,4.29,1.29,0.74,2.20,0.57,2.41,4.47
December,3.37,2.47,1.14,5.16,3.79,2.05,1.89,0.43,1.82,1.08,1.44,1.26,2.61,2.00,2.06,2.26,2.50,1.71,1.64,1.18,2.19,2.86,1.71,2.36,2.95,3.23,3.20
Total,,26.44,27.01,29.80,26.64,27.13,24.13,23.13,20.40,22.19,27.26,19.44,30.16,20.85,24.47,19.77,29.10,28.88,23.23,19.27,30.39,20.26,27.35,24.78,28.10,16.99,32.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/254,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/109,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/194,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1982 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,
