"HASTINGS NEWGATE RESERVOIR",,,,,,,,,,,,
Grid ref,TQ807102,Long,0.566368,Lat,50.863070,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.68,0.45,1.20,2.13,,,,,,,,
February,5.85,1.94,1.09,1.33,,,,,,,,
March,0.94,1.91,1.38,1.49,,,,,,,,
April,1.39,1.87,0.62,1.53,,,,,,,,
May,1.16,0.73,1.83,1.65,,,,,,,,
June,2.48,1.17,2.15,2.34,,,,,,,,
July,1.31,1.38,0.70,4.23,,,,,,,,
August,1.74,2.13,4.24,2.35,,,,,,,,
September,0.89,0.86,3.32,2.88,,,,,,,,
October,2.73,2.50,2.23,3.50,,,,,,,,
November,3.12,0.19,1.97,1.92,,,,,,,,
December,3.81,4.15,2.16,1.84,,,,,,,,
Total,29.10,19.28,22.89,27.19,,,,,,,,
Calc annual,29.10,19.28,22.89,27.19,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
