AXMINSTER-KILMINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY268983,Long,-3.03868,Lat,50.7799,Elevation,210,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1818/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,6.01,4.07,7.43,2.57,4.72,4.6,9.28,2.66,2.91,4.04,4.15,6.89,0.81,0.69,3.11,,,,,,,,,
February,,,,,,,6.69,1.45,1.94,4.62,3.77,0.33,1.57,0.74,2.83,3.34,2.55,1.71,1.47,6.19,4.36,,,,,,,,,
March,,,,,,,4.3,0.15,1.32,2.7,2.43,2.8,1.34,0.05,1.08,1.25,7.39,1.31,1.2,1.92,3.79,,,,,,,,,
April,,,,,,2.38,2.77,0.05,2.9,2.27,2.32,1.65,1.13,2.04,0.83,1.76,2.63,2.73,2.03,2.33,1.63,,,,,,,,,
May,,,,,,0.88,2.92,2.99,1.27,2.27,1.95,6.99,3.02,1.02,4.35,4.9,2.95,3.54,2.32,2.54,2.16,,,,,,,,,
June,,,,,,1.53,1.19,2.13,3.94,0.72,1.11,0.77,2.02,2.72,3.46,3.23,1.98,2.25,0.44,0.99,0.9,,,,,,,,,
July,,,,,,7.56,3.34,4.24,5.02,2.67,1.35,2.09,2.23,3.62,2.1,1.39,2.87,2.01,1.19,4.86,2.18,,,,,,,,,
August,,,,,,0.32,0.81,2.97,2.08,0.17,4.29,4.65,3.17,2.39,2.19,4.24,0.38,4.73,2.02,4.43,5.39,,,,,,,,,
September,,,,,,2.89,3.06,1.88,1.2,2.09,0.94,2.83,2.59,2.15,2.71,6.12,1.44,2.34,3.18,3.84,3.54,,,,,,,,,
October,,,,,,1.28,3.49,4.06,4.4,4.2,2.14,4.48,4.2,5.58,4.5,2.17,0.99,3.69,5.39,1.56,0.82,,,,,,,,,
November,,,,,,3.4,2.46,7.23,5.9,7.7,2.31,1.01,2.59,6.43,2.4,6.21,2.57,3.38,4.14,6.3,5.33,,,,,,,,,
December,,,,,,4.51,4.33,4.25,2.52,3.57,3.01,6.14,3.05,3.58,5.87,4.89,3.77,6.43,1.26,1.83,2.55,,,,,,,,,
Total,,,,,,,41.37,35.47,39.92,35.55,30.34,38.34,36.19,32.98,35.23,43.54,33.67,41.01,25.45,37.48,35.76,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House called Goscott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Jan-Mar Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Total adjusted as all monthly values seem correctly transcribed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Jan Amended for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Not printed Low Gauge is a recorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
