BUCKINGHAM-ADSTOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP759300,Long,-0.896729,Lat,51.963308,Elevation,352,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,2.16,3.33,2.12,4.33,1.68,2.31,0.35,1.51,1.5,2.75,2.37,2.11,3.38,2.56,0.77,0.96,2.3,1.93,0.88,2.03,2.14,2.29,1.14,1.76,0.77,2.42,3.11,0.92,0.58,2.4,2.4,0.67,3.75,0.86,1.97,0.94,1.55,0.89,3.54,3.58,0.78,2.31,1.11,1.64,2.52,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,1.74,1.24,2.46,1.95,1.58,3.27,2.34,2.47,1.97,3.87,1.08,2.18,0.57,0.67,2.72,1.91,0.8,0,1.12,2.25,1.88,0.35,0.47,2.66,0.94,1.79,4.57,1.3,1.11,0.66,3.1,0.67,1.74,1.25,0.94,0.42,2.74,1.49,1.82,1.14,2.04,2.91,3.61,1.47,1.37,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,0.97,1.13,3.49,2.18,1.05,1.15,1.81,1.71,1.13,1.09,1.1,1.31,2.16,1.69,2.77,2.07,1.44,1.49,0.65,0.2,1.67,1.88,2.64,2.37,1.14,0.67,0.63,1.91,1.36,2.98,1.62,2.89,1.69,0.9,2.85,2.06,0.71,1.9,3.08,2.39,3.74,1.34,4.26,1.6,0.55,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.43,2.17,3.55,2.66,2.66,2.63,1.82,0.57,3.97,1.35,1.21,2.05,2.39,1.3,2.03,2.86,1.05,1.56,0.51,0.13,1.68,1.53,0.84,1.63,1.57,1.94,0.51,1.99,0.9,1.42,1.09,2.06,0.81,2.36,4.35,1.97,2.1,1.4,0.04,2.51,1.09,0.34,0.98,1.12,3.45,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,1.16,2.38,0.54,3.5,5.27,1.71,1.12,1.11,2.26,1.39,0.7,2.48,4.11,2.26,1.37,3.35,1.95,3.59,1.69,2.46,1.83,0.42,0.3,1.2,3.63,2.37,1.38,1.76,1.72,3.76,2.71,0.86,1.4,3.09,1.81,1.84,2.16,2.29,1.42,1.97,0.89,1.9,1.41,2.19,2.11,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,0.67,3.72,1.54,1.29,2.64,5.08,2.42,2.11,3.05,2.19,1.3,1.67,0.94,1.28,2.01,1.81,1.86,1.18,1.64,0.72,2.55,1.32,2.16,2.25,1.14,0.97,3.1,1.06,2.27,4.81,0.55,3.63,3.54,2.07,1.51,3.54,1.7,0.82,2.6,0.89,2.08,0.21,2.27,1.95,0.63,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,1.7,4.75,0.82,2.7,1.16,3.8,8.4,3.07,3.44,3.22,2.43,0.36,4.11,0.77,4.55,2.64,4.7,2.14,2.16,3.61,3.14,3.65,0.96,1.76,0.83,1.43,1.49,2.29,1.52,3.17,2.79,0.77,0.61,2.3,2.19,3.51,1.95,0.43,2.07,1.27,1.99,5.79,3.3,3.25,3.01,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,2.21,1.58,1.81,3.87,4.87,3.6,0.68,4.47,1.67,0.66,1.4,2.86,1.76,1.08,1.99,2.18,2.17,5.47,2.41,1.25,2.25,2.19,2.53,5.81,2.06,1.23,2.76,1.81,2.5,3.64,2.36,3.2,1.06,1.9,2.79,2.6,2.19,1.6,6.49,0.52,1.97,2.66,2.28,5.42,1.38,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,2.4,2.51,5.02,2.07,1.3,2.55,3.89,1.6,2.56,5.12,1.3,4.59,1.59,2.13,1.1,2.41,1.15,0.61,3,0.92,1.73,0.63,5.8,3.08,0.47,1.99,0.46,1.55,1.85,1.65,1.35,1.6,0.98,0.88,1.59,3.63,0.52,1.37,1.38,2.01,1.11,1.82,0.59,1.67,5.32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,2.65,5.91,1.4,1.57,2.12,0.7,5.11,2.79,6.08,1.88,0.86,3.84,4.45,1.4,0.79,3.23,1.31,6.8,3.68,2.53,3.33,2.73,2.53,1.29,3.13,2.08,2.09,1.55,1.76,6.16,0.89,1.17,4.11,4.01,1.02,3.6,2.61,2.51,2.66,3.36,3.24,1.74,2.92,3.94,1.31,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
