HEVINGHAM-RIPPON-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG210225,Long,1.273507,Lat,52.754887,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,1.24,0.75,0.98,3.66,2.2,2.61,2.93,1.89,3.59,1.88,2.06,2.02,2.88,2.14,2.11,5.17,1.9,2.35,1.34,2.95,2.5,3.51,2,1.86,2.79,0.9,0.72,1.62,2.97,2.58,3.07,2.75,4.49,1.76,2.29,3.3,4.39,2.42,3.18,1.88,1.77,4,1.31,1.22,2.82,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,2.65,1.93,2.28,0.78,2.01,2.13,1.37,0.81,1.61,3.01,3.97,1.15,1.19,2.75,0.73,0.46,2.9,3.24,1.99,2.44,1.96,2.22,1.52,0.85,1.12,2.62,0.8,1.89,0.91,2.15,2.54,2.73,0.84,0.88,1.37,2.57,2.08,0.81,1.67,1.78,4.79,1.97,0.81,0.82,3.41,3.05,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.03,1.49,2.34,3.21,0.73,2.33,2.32,1.94,3.43,2.9,3.3,2.59,0.69,2.04,1.39,1.08,1.98,1.66,0.7,1.9,0.46,2.32,1.5,0.08,1.74,1,2.1,1.98,1.51,0.53,0.57,2.83,0.4,2.36,2,3.06,1.76,0.85,0.97,1.95,0.87,5.01,0.72,1.61,0.43,2.98,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,0.71,3.12,2.6,1.47,2.13,1,0.35,2.25,0.82,0.99,2.07,2.29,2.95,2.19,3.5,1.56,3.53,1.08,1.74,2.22,2.62,1.56,1.7,1.05,1.57,3.64,2.9,1.23,2.34,2.84,1.23,2.47,0.6,2.54,1.49,1.23,0.65,0.97,1.69,2.7,0.7,2.14,1.41,2.27,2.1,3.38,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,3.32,2.59,1.48,1.05,3.04,1.12,0.88,1.2,1.36,1.72,2.24,0.62,1.13,0.81,1.5,1.82,0.88,1.52,3.09,2.38,1.62,0.95,1.73,1.41,3.41,3.99,4.3,2.02,2.37,1.11,1.08,2.82,2.01,0.8,1.04,2.22,2.8,1.94,1.32,2.03,1.66,1.19,2.93,2.32,1.76,1.8,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,2.14,2.52,0.71,3.03,1.57,2.82,2.73,0.66,1.91,0.81,3.7,1.13,1.43,1.51,1.86,0.38,1.65,1.07,1.51,0.64,2.65,5.07,2.86,1.13,1.19,2.5,0.4,2.14,1.26,2.42,2.99,1.51,1.12,1.77,0.38,0.87,1.95,1.65,1.35,1.98,2.51,1.29,2.75,0.9,2.09,1.39,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,0.61,1.07,2.91,4.18,3.35,0.35,4.17,2.72,2.18,3.74,1.28,2.83,3.58,3.31,3.1,0.4,5.12,3.18,1.72,1.59,1.87,2.31,1.92,3.33,5.1,3.09,2.5,0.88,1.15,1.04,4.26,3.41,1.78,1.52,3.25,1.54,3.97,0.92,2.02,1.37,5.04,1.49,2.33,4.29,4.57,1.86,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,2.12,1.5,1.98,2.36,1.38,0.59,9.43,1.8,1.04,2.06,3.16,4.59,2.65,2.13,1.98,1.64,1.58,2.66,2.88,2.1,2.36,3.04,1.54,1.37,3.18,3.6,2.2,0.98,1.56,1.5,1.53,1,0.94,1.71,1.23,4,0.9,1.81,0.99,2.88,3.42,0.53,2.68,1.74,1.97,2.88,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,1.15,0.57,2.26,1.58,1.24,2.4,2.64,1.71,1.49,1.36,1.64,1.8,4.94,0.95,2.66,0.95,3.3,1.41,3.09,3.2,1.45,5.77,0.73,0.77,6.04,2.05,2.5,2.19,3.88,3.16,3.17,2.55,2.34,1.49,1.33,0.35,1.65,2.38,4.27,2.88,3.78,0.85,1.98,1.33,3.27,2.02,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,3.09,3.71,1.39,4.39,1.94,2.57,2.28,3.93,2.46,2.03,2.6,3.56,2.75,3.71,1.27,1.87,1.51,3.39,4.11,2.04,2.58,2.54,2.91,2.99,1.23,1.5,4.9,3.05,2.08,3.32,2.26,1.58,3.26,6.81,2.61,3.73,3.62,1.35,3.52,2.64,1.39,0.45,2.07,2.43,1.31,0.94,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
