KILLEARN OLD BALLIKINRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 559 880,Long,-4.315934,Lat,56.062859,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,6.5,4,10.7,3.96,1.44,3.65,0.35,6.22,10.95,9.42,6.3,7.81,5.62,5.89,5.43,9.99,4.79,4.48,4.4,9.59,2.06,,,,
February,,,,,,1.9,7.42,5.14,2.74,2.05,6.44,6.33,5.12,7.53,8.85,6.21,2.12,4.78,0.76,4.05,1.04,1.06,2.89,6.72,13.64,0.36,,,,
March,,,,,,1.5,8.82,1.86,1.92,5.16,3.12,5.05,5.14,2.73,4.63,4.07,4.62,2.23,4.6,2.02,3.77,5.01,0.78,2.12,5.6,4.12,,,,
April,,,,,,1.5,2.83,3.89,2.9,1.52,4.88,1.35,3.03,3.71,1.75,4.19,3.68,3.29,2.89,4.19,2.06,2.54,1.31,1.36,2.53,4.36,,,,
May,,,,,,2.5,0.85,3.25,5.78,2.42,1.45,3.19,3.46,2.74,5.23,3.77,3.39,0.47,6.72,4.91,3.67,2.42,4.46,2.48,2.75,0.85,,,,
June,,,,,,-999,2.58,4.83,3.08,5.58,1.81,4.62,4.47,3.02,2.04,1.6,1.38,1.1,3.58,1.66,4.76,1.82,5.21,3.14,3.22,2.46,,,,
July,,,,,,-999,3.09,3.99,0.79,5.22,3.65,5.12,7,4.46,5.69,2.1,3.12,3.41,5.17,1.89,4.76,2.03,2.58,4.41,3.28,4.94,,,,
August,,,,,5.3,3.19,5.42,8.34,4.04,4.99,1.54,4.99,1.93,4.92,5.14,3.77,2.68,4.15,3.26,5.38,2.95,5.25,8.04,3.84,5.69,8.35,,,,
September,,,,,5.6,5.19,2.58,1.81,5.39,5.71,3.28,2.66,4.11,3.76,4.01,8.46,7.37,3.65,1.31,1.45,5.42,7.8,7.34,3.43,0.66,1.9,,,,
October,,,,,9,5.57,7.35,8.63,6.47,2.52,0.63,3.78,4.98,6.47,6.23,4.13,5.64,2.4,3.46,4.71,5.72,7.19,5.35,6.36,4.87,3.38,,,,
November,,,,,5.7,5.02,3.58,9.07,3.11,1.85,7.26,8.24,6.35,9.51,5.99,3.27,5.84,6.22,8.69,2.16,10.78,6.55,5.58,3.81,5.66,7.32,,,,
December,,,,,4,6.32,8.99,6.57,1.86,5.08,4.83,6.07,6.67,5.88,9.58,3.78,4.44,5.09,6.35,4.69,1.31,10.76,2.19,7.65,4.98,6,,,,
Total,,,,,,44.09,57.51,68.08,42.04,43.54,42.54,51.75,58.48,65.68,68.56,51.65,52.09,42.41,52.68,42.54,56.23,57.22,50.21,49.72,62.47,46.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875  Jun Jul Bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
