BAGBY - WEST VIEW,,,,,,,,,
Grid ref,SE461802,Long,-1.295,Lat,54.215,Elevation,191,ft,
Station no,RR6006,,,,,,,,
,,,,,,,,,
,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,1.47,1.86,1.38,2.32,2.14,,,
February,,3.55,1.36,3.29,1.58,1.32,,,
March,,1.41,1.17,1.66,0.64,2.00,,,
April,,1.35,1.53,2.65,0.91,1.29,,,
May,,1.67,4.52,2.77,2.02,1.52,,,
June,,0.73,1.94,0.02,4.05,2.72,,,
July,,2.64,2.57,1.95,1.55,4.82,,,
August,,3.62,2.89,2.90,2.83,6.39,,,
September,,2.61,2.29,2.91,1.70,4.77,,,
October,1.09,2.52,3.56,2.36,2.77,,,,
November,1.37,2.93,1.47,1.70,4.22,,,,
December,3.19,3.07,3.05,2.28,0.85,,,,
Total,,27.57,28.21,25.87,25.44,,,,
,,,,,,,,,
TYRain_1920-1930_23_pt1/168,,,,,,,,,
,,,,,,,,,
# The gauge moved about 1000 yards from Spital Hill to Bagby West View in October 1922.,,,,,,,,,
#,,,,,,,,,
# The readings for October-December 1927 are estimates and have been omitted.,,,,,,,,,
