SPITAL HILL,,,,,,,,,,,
Grid ref,SE451800,Long,-1.310,Lat,54.214,Elevation,117,ft,,,
Station no,RR6006,,,,,,,,,,
,,,,,,,,,,,
,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922
January,3.29,3.14,1.54,3.14,0.47,3.14,1.94,3.33,3.20,2.32,2.49
February,1.48,1.21,1.70,2.94,2.52,0.75,2.05,1.07,0.77,0.17,1.74
March,2.86,2.41,1.89,1.07,2.40,2.36,1.11,2.51,2.01,1.06,1.29
April,0.03,2.98,0.66,0.95,1.09,1.57,1.37,1.64,3.15,1.05,2.02
May,2.26,1.92,1.66,1.13,2.42,0.92,2.67,0.99,2.32,1.84,0.76
June,5.88,1.41,1.55,0.30,2.62,1.48,0.90,1.14,1.33,1.82,1.76
July,3.52,0.79,4.45,4.91,2.02,1.42,3.04,2.42,4.43,1.41,4.21
August,5.04,1.03,1.69,2.61,1.66,5.66,2.31,2.13,1.90,3.47,3.06
September,1.95,1.17,1.34,1.15,2.25,0.51,4.94,1.14,1.32,1.19,2.10
October,2.46,1.93,2.05,1.02,2.86,3.09,1.50,3.84,2.32,0.61,
November,3.13,1.97,3.22,1.70,2.24,1.49,1.29,2.21,0.98,1.82,
December,1.26,1.97,4.97,4.38,1.68,1.67,3.20,3.18,3.14,2.13,
Total,33.16,21.93,26.72,25.30,24.23,24.06,26.32,25.60,26.87,18.89,
,,,,,,,,,,,
TYRain_1910-1919_20_pt1/278,,,,,,,,,,,
TYRain_1920-1930_23_pt1/168,,,,,,,,,,,
,,,,,,,,,,,
# The gauge moved about 1000 yards to Bagby West View in October 1922.,,,,,,,,,,,
