SUDBURY-STATION-APPROACH-NO-17,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ169849,Long,-0.31538144,Lat,51.550889,Elevation,153,ft.,,,,,,,,,,,,,
Station no,856,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.36,2.84,1.34,2.53,1.69,2.95,1.9,3.53,1.1,2.67,1.2,1.68,1.72,1.39,0.77,4.18,3.59,2.64,4.68,
February,,0.15,2.39,3.12,0.48,3.04,2.52,3.29,1.52,0.51,0.59,1.62,0.09,2.49,0.39,2.14,1.73,4.18,0.41,0.73,
March,,1.3,1.64,2.12,0.63,0.35,0.31,2.19,1.59,0.03,1.3,0.18,1.17,2.42,2.11,0.4,1.11,2.77,0.3,1.3,
April,,0.96,2.47,1.96,3,1.86,3.13,1.97,1.41,1.15,1.77,3.19,1.9,0.72,1.69,2.78,1.38,2.36,0.16,2.64,
May,,1.27,0.75,1.79,3.24,1.97,1.92,1.3,2.31,1.72,2.46,2.18,4.11,1.95,0.55,0.85,0.41,2.6,1.59,1.25,
June,,0.19,1.09,0.29,2.32,0.04,2.85,2.93,2.63,1.3,1.84,1.27,0.87,3.07,1.1,3.01,3.78,1.93,0.43,1.45,
July,,0.27,2.95,3.29,3.98,4.04,1.98,2.37,2.03,2.9,1.83,2.84,2.42,0.94,1.95,1.49,3.23,0.78,1.11,2.18,
August,,2.37,3.07,1.7,3.35,2.71,1.04,4.55,2.15,1.69,3.37,5.02,1.44,0.74,2.35,1.97,0.37,1.43,3.96,3.64,
September,,2.34,1.99,1.23,2.82,2.77,1.8,5.01,1.04,0.33,2.86,2.56,1.85,2.45,1.44,4.17,2.79,1.65,1.85,1.36,
October,,0.96,0.78,4.92,3.49,2.67,2.1,1.7,4.36,2.8,0.94,0.64,4.8,1.36,1.27,2.49,1.79,2.5,2.57,,
November,,1.68,1.4,1.45,2.41,1.63,5.12,3,2.38,5.45,3.73,2.3,1.4,1.21,2,4.24,2.96,1.5,3.04,,
December,,1.2,2.6,2.4,3.11,2.29,0.26,3.66,2.5,5.1,2.04,0.73,0.56,0.41,4.84,2.78,1.61,3.15,3.17,,
Total,,15.05,23.97,25.61,31.36,25.06,25.98,33.87,27.45,24.08,25.4,23.73,22.29,19.48,21.08,27.09,25.34,28.44,21.23,,
,,,,,,,,,,,,,,,,,,,,,
NGR is 17 Station Approach. Altitudes match,,,,,,,,,,,,,,,,,,,,,
