SUDBURY-STATION-APPROACH-NO-36,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ169849,Long,-0.31538144,Lat,51.550889,Elevation,153,ft.,,,,,,,,,,,,
Station no,856/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,1.86,1.51,0.97,4.49,3.99,2.78,5.12,1.87,2.25,2.88,4.57,1.71,1.91,1.58,1.83,4.19,,
February,,,2.61,0.4,2.46,1.97,4.61,0.43,0.86,1.56,2.32,0.87,1.3,0.74,1.56,2.96,1.31,1.46,,
March,,,2.61,2.24,0.46,1.15,3.02,0.33,1.36,2.68,3.02,1.84,0.45,0.18,0.56,1.25,5.7,0.63,,
April,,,0.75,1.81,2.94,1.46,2.62,0.13,2.73,1.96,1.63,1.4,0.94,1.87,1.3,1.8,1.44,1.54,,
May,,,2.01,0.59,0.81,0.39,2.65,1.72,1.37,1.78,1.79,3.08,2.43,0.85,2.11,3.16,0.82,2.92,,
June,,,3.04,1.13,3.17,3.87,1.97,0.43,1.49,0.96,1.97,0.81,1.3,1.41,1.77,3.29,2.5,2.15,,
July,,,0.9,1.92,1.58,3.17,0.77,1.08,2.24,2.5,5.73,1.67,1.82,1.52,3.02,2.79,2.89,1.08,,
August,,1.43,0.73,2.22,2.04,0.43,1.48,3.96,4.08,0.06,5.14,2.13,1.51,2.49,1.13,4.09,3.52,2.66,,
September,,1.86,2.55,1.16,4.35,3.14,1.74,1.89,1.39,1.01,0.37,0.97,2.28,2.79,1.61,3.67,1.21,1.7,,
October,,5.01,1.45,1.41,2.7,1.95,2.59,2.85,5.5,2.64,0.77,3.75,2.63,3.3,3.02,1.5,0.16,,,
November,,1.47,1.18,2.15,4.49,3.25,1.56,3.48,5.02,6.42,2.33,1.96,1.33,3.77,0.35,4.16,1.31,,,
December,,0.55,0.44,5.24,2.97,1.82,3.43,3.4,1.09,1.37,1.82,2.35,1.54,1.29,3.07,2.13,2.71,,,
Total,,,20.13,21.78,28.94,27.09,30.43,22.48,32.25,24.81,29.14,23.71,22.1,21.92,21.41,32.38,25.4,,,
,,,,,,,,,,,,,,,,,,,,
NGR is 36 Station Approach. Altitudes match.,,,,,,,,,,,,,,,,,,,,
Gauge moved to Greenford Whitton Drive at the end of Sept 1948,,,,,,,,,,,,,,,,,,,,
