SUDBURY-STATION-APPROACH-GREENFORD-WHITTON-DRIVE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ162849,Long,-0.32547267,Lat,51.551033,Elevation,152,ft.,,,,,,,,,,,,
Station no,856/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,0.93,0.89,2.92,1.73,0.88,0.99,2.25,4.57,1.41,,,
February,,,,,,,,,0.97,3.55,5.04,0.85,1.49,2.06,1.51,0.32,3.03,,,
March,,,,,,,,,0.95,0.79,3.51,2.86,0.41,2.99,1.2,1.05,1.21,,,
April,,,,,,,,,1.42,2.34,2.83,1.51,2.44,0.32,0.63,1.17,0.09,,,
May,,,,,,,,,2.16,1.72,2.25,1.72,1.49,2.06,5.3,0.33,1,,,
June,,,,,,,,,0.64,1.29,1.23,2.06,1.34,3.35,2.2,2.1,0.9,,,
July,,,,,,,,,1.02,4.99,1.11,0.51,4.09,2.89,0.21,3.92,3.89,,,
August,,,,,,,,,1.67,2.45,3.83,5,2,4.03,0.94,4.45,2.26,,,
September,,,,,,,,,0.56,3.06,3.12,3.83,2.19,2.36,1.81,2.25,2.46,,,
October,,,,,,,,2.2,5.6,0.59,1.12,2.87,2.63,2.59,3.75,3.09,2.02,,,
November,,,,,,,,1.81,2.69,4.64,5.39,3.36,1.38,3.8,1.55,0.4,2.05,,,
December,,,,,,,,2.57,1.31,1.85,1.58,2.6,0.64,1.47,2.28,2.91,1.45,,,
Total,,,,,,,,,19.92,28.16,33.93,28.9,20.98,28.91,23.63,26.56,21.77,,,
,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is close to Whitton Drive (Greenford is a house name).,,,,,,,,,,,,,,,,,,,,
Gauge moved here in 1948 about 700m; the station no. was retained.,,,,,,,,,,,,,,,,,,,,
