WEST-BRIGHTON-BLATCHINGTON-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ287050,Long,-0.17389246,Lat,50.830238,Elevation,55,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,3,0.63,2.5,1.48,2.63,3.63,2.25,5.74,2.67,1.16,1.32,2.8,2.38,,,,,,,,
February,,,,,,,,,,3.29,2.76,3.52,1.66,3.47,1.37,3.5,0.46,0.91,1.62,2.45,1.33,0.03,,,,,,,,
March,,,,,,,,,,0.69,0.91,2.85,1.07,0.91,1.58,2.47,2.25,1,3.75,1.94,1.48,2.17,,,,,,,,
April,,,,,,,,,,4.38,1.77,0.64,3.28,1.67,1.3,0.9,1.75,1.3,1.12,1.95,2.39,0.59,,,,,,,,
May,,,,,,,,,,3.03,0.38,1.07,1.56,2.02,0.27,2.72,4.92,0.98,1.26,1.33,1.67,2.46,,,,,,,,
June,,,,,,,,,,4.51,1.56,3.42,2.69,1.07,2.48,1.27,0.67,0.85,2.76,0.61,2.68,1.52,,,,,,,,
July,,,,,,,,,,3.31,3.22,2.34,3.24,2.15,2.51,0.47,2.95,0.68,4.3,3.09,3.35,2.73,,,,,,,,
August,,,,,,,,,,5.59,1.02,4.51,2.03,0.87,1.75,0.69,1.65,2.84,2.15,2.46,2.98,4.57,,,,,,,,
September,,,,,,,,,,3.41,5.16,2.79,3.54,3.87,3.7,4.62,0.83,3.49,0.82,0.8,0.75,1.07,,,,,,,,
October,,,,,,,,,,0.83,6.18,2.03,8.49,2.63,1.25,4.72,4.1,0.99,2.63,7.01,1.5,7.17,,,,,,,,
November,,,,,,,,,,1.09,4.16,4.21,3.5,4.16,1.4,3.25,3.77,4.65,4.69,1.1,2.85,3.37,,,,,,,,
December,,,,,,,,,,1.03,4.08,3.36,2.67,1.23,3.91,1.57,5.2,2.09,1.55,1.7,0.45,2.84,,,,,,,,
Total,,,,,,,,,,34.16,31.83,33.24,35.21,26.68,25.15,28.43,34.29,22.45,27.81,25.76,24.23,30.9,,,,,,,,
