DOVER-CASTLE-KEEP (NORTH EAST TURRET),,,,,,,,,,
Grid ref,TR3248541964,Long,1.3213791,Lat,51.12974,Elevation,512,ft,,
Station no,RR6896,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,1.73,0.37,,,,,
February,,,0.31,0.73,0.4,,,,,
March,,,2.85,0.67,1.57,,,,,
April,,,1.17,0.72,0.52,,,,,
May,,,1.78,1.49,1.43,,,,,
June,,,0.86,1.69,1.1,,,,,
July,,,1.9,0.35,0.12,,,,,
August,,,1.48,0.7,1.1,,,,,
September,,,0.93,1.51,0.27,,,,,
October,,,2.78,2.5,0.69,,,,,
November,,,0.34,1.1,2.67,,,,,
December,,,1.01,0.42,0.59,,,,,
Total,,,,13.61,10.83,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Gauge tried on both NE and SW turrets. SW diminished quantity by half.,,,,,,,,,,
