DOVER-CASTLE-KEEP (SOUTH WEST TURRET),,,,,,,,,,
Grid ref,TR3248641931,Long,1.3213721,Lat,51.129444,Elevation,512,ft,,
Station no,RR6896,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,1.21,0.68,0.8,1.06,
February,,,,,,0.74,0.98,0.49,0.35,
March,,,,,,0.69,1.47,1.42,0.16,
April,,,,,,0.1,1.51,0.12,0.88,
May,,,,,,1.4,0.85,2.08,1.08,
June,,,,,,0.8,0.97,0.45,0.24,
July,,,,,,1.36,1,1.66,0.4,
August,,,,,,2.38,2.13,0.15,2.8,
September,,,,,,0,1.83,0.55,0.65,
October,,,,,,3.88,0.3,0.73,1.15,
November,,,,,,1.46,0.57,1.17,1.31,
December,,,,,,0.55,0.44,0.8,1.51,
Total,,,,,,14.57,12.73,10.42,11.59,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1865 Oct IDR,,,,,,,,,,
Gauge tried on both NE and SW turrets. SW diminished quantity by half.,,,,,,,,,,
