DUNNET HEAD,,,,,,,,,,,,
Grid ref,ND203768,Long,-3.375915,Lat,58.671650,,,,,,,
Station no,5814,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.10,2.62,2.22,3.24,1.53,,,,,,,
February,2.27,2.08,1.83,3.58,0.88,,,,,,,
March,1.55,2.96,0.89,1.46,0.54,,,,,,,
April,2.48,0.99,1.74,1.02,1.48,,,,,,,
May,0.36,1.67,1.06,2.63,2.15,,,,,,,
June,0.58,1.80,1.57,3.44,0.70,,,,,,,
July,2.86,3.22,3.31,3.53,0.30,,,,,,,
August,1.84,2.24,1.47,1.22,0.93,,,,,,,
September,0.59,1.75,2.84,3.77,3.85,,,,,,,
October,0.82,1.62,1.16,-999.00,4.15,,,,,,,
November,3.73,3.36,1.73,4.99,1.96,,,,,,,
December,4.06,3.39,1.58,5.04,6.87,,,,,,,
Total,23.24,27.70,21.40,39.51,25.34,,,,,,,
Calc annual,23.24,27.70,21.40,33.92,25.34,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,5.59,0.00,NaN,NaN,NaN,NaN,NaN,,
