"GOUROCK ( LARKFIELD FILTERS )",,,,,,,,,,,,
Grid ref,NS244761,Long,-4.813532,Lat,55.945760,,,,,,,
Station no,5317,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.97,6.48,4.18,7.37,4.25,4.31,8.27,6.58,1.89,5.09,,
February,3.95,2.43,3.39,6.19,3.70,1.90,3.98,3.42,2.34,5.50,,
March,4.25,4.78,2.33,3.74,2.07,3.36,6.54,1.57,3.73,4.62,,
April,3.58,2.63,2.53,3.20,4.24,2.18,2.99,2.35,4.54,6.14,,
May,2.12,1.80,2.74,3.72,3.18,4.52,2.20,4.53,1.50,3.05,,
June,2.23,4.33,1.22,4.56,3.35,2.58,2.62,3.51,3.56,3.55,,
July,3.82,2.91,6.28,3.80,1.25,5.15,5.71,6.28,7.57,5.12,,
August,4.44,5.45,5.75,6.04,1.20,5.35,4.64,5.81,1.70,3.72,,
September,4.69,4.12,6.55,8.19,5.65,4.74,3.52,5.27,1.96,3.98,,
October,2.16,5.88,4.84,11.16,5.35,3.97,6.50,5.35,6.38,3.43,,
November,8.46,2.46,11.12,9.09,2.74,2.76,2.47,2.33,6.72,8.91,,
December,11.33,7.93,6.71,9.19,9.58,8.66,6.10,7.23,10.15,7.60,,
Total,57.00,51.20,57.64,76.25,46.56,49.48,55.54,54.23,52.04,60.71,,
Calc annual,57.00,51.20,57.64,76.25,46.56,49.48,55.54,54.23,52.04,60.71,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
