WESSENDEN HEAD NEW GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE068077,Long,-1.898802,Lat,53.56587,Elevation,1200,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,5.03,2.91,4.32,6.8,3.92,7.92,2.76,5.23,3.31,3.99,4.77,4.59,9.79,1.84,7.36,4.83,4.4,3.45,3.61,2.58,4.92,5.32,7.41,6.58,2.43,4.23,4.2,7.35,8.36,4.31,6.86,4.1,13.21,2.71,3.72,6.3,4.36,2.64,4.95,3.85,5.83,4.93,6.1,5.63,7,,
February,,,,,,,6.44,1.07,8.25,2.1,5.22,0.67,5.89,5.62,1.68,7.15,4.47,1.69,5.32,0.6,1.19,6.41,0.63,6.29,0.33,7.66,2.37,6.02,2.53,5.63,2.14,6.62,1.27,4,2.68,6.63,7.54,1.68,3.99,3.38,7.65,4.8,1.58,2.86,3.42,2.36,1.96,4.36,8.49,0.47,3.56,,
March,,,,,,1.87,4.33,3.85,2.49,6.82,2.74,4.3,3.53,2.32,1.5,2.24,1.73,5.38,2.63,1.27,3.47,0.46,3.17,3.46,3.93,2.6,5.06,4.45,1.71,4.02,4.44,6.66,2.96,2.14,0.53,1.89,2.55,8.05,1.94,2.16,2.89,7.55,3.22,3.28,3.44,3.41,2.12,4.71,5.58,2.62,2.1,,
April,,,,,,2.21,3.48,2.22,1.82,2.45,6.71,2.39,4.32,3.77,2.36,2.98,2.86,4.64,1.35,1.63,3.35,4.79,4.1,1.49,2.98,4.36,2.78,2.74,0.73,3.34,3.32,4.27,2.91,2.83,3.33,2.85,2.5,5.02,2.76,5.16,5.6,3.09,4.65,4.62,1.06,3.19,3.85,1.11,1.56,6.16,2.99,,
May,,,,,,2.37,3.58,2.85,3.6,2.29,6.66,2.66,1.72,5.12,6.95,4.62,4.61,1.46,2.13,2.8,2.73,3.33,6.04,1.81,3.12,0.8,1.97,3.22,5.05,2.29,1.19,3.2,4.24,3.61,7.21,3.92,2.6,3.73,2.42,3.49,3.21,4.89,2.62,3.02,4.24,4.76,1.97,1.52,5.91,2.54,3.27,,
June,,,,,,1.86,4.58,2.17,2.33,2.44,3.68,0.29,3.49,1.41,2.14,0.06,3.21,4.34,6.04,1.2,3.38,6.17,0.4,3.42,2.14,4.82,5.31,2.75,5.02,4.7,1.11,1.03,1.59,4.21,3.19,7.81,4.64,3.5,5.17,0.86,2.74,1.56,3.36,6.39,4.99,4.43,3.69,2.43,5.88,2.15,2.47,,
July,,,,,,5.5,2.76,2.14,5.37,3.52,8.89,1.19,5.63,4.76,4.06,2.56,3.4,3.45,1.68,2.61,8.34,5.59,5.51,3.96,3.38,2.1,4.72,3.42,6.11,8.61,4.75,2.24,5.65,3.25,3.5,1.8,6.12,2.73,2.73,4.06,3.93,3.63,3.23,7.72,6.56,1.61,9.78,5.81,6.47,3.7,7.86,,
August,,,,,,5.66,2.45,8.44,4.31,4.69,2.74,7.11,7.26,4.86,4.81,4.51,5.12,7.04,4.62,4.57,4.68,7.42,2.61,2.02,3.27,1.94,2.86,1.88,4.42,2.46,2.91,8.29,7.2,6.78,5.81,4.52,6.7,0.24,6.52,3.8,6.63,7.32,4.56,5.39,8.2,0.9,12.75,6.91,5.67,0.76,7.06,,
September,,,,,,0.66,3.62,3.05,14.61,3.23,2.21,1.21,4.68,4.34,5.27,3.8,3.59,7.05,0.66,1.93,4.96,4.25,5.67,2.43,2.64,7.54,6.18,2.47,2.65,2.15,5.26,0.73,3.97,5.18,6.41,3.91,7.98,2.91,3.28,1.84,8.37,3.49,5.42,3.68,7.02,2.97,6.18,7.95,5.64,0.38,3.49,,
October,,,,,,2.66,8.97,9.09,3.99,3.78,2.13,2.71,1.49,4.96,5.73,5.43,3.16,4.61,5.29,5.53,6.33,2.65,7.54,4.49,5.29,11.57,6.31,3.42,11.33,3.66,6.05,5.84,8.37,3.04,5.56,7.89,2.19,1.58,3.22,4.8,2.82,1.38,6.9,3.52,9.59,3.32,3.7,6.76,5.11,4.66,8.52,,
