WESSENDEN HEAD OLD GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE069077,Long,-1.897292,Lat,53.565868,Elevation,1270,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,4.85,1.81,1.87,2.81,5.66,4.15,5.05,1.45,4.74,2.1,2.02,1.7,2.73,7.66,6.4,2.05,3.75,4.48,4.07,2.61,4.26,3.12,2.12,2.84,2.34,2.4,3.88,4.38,4.36,8.52,5.4,2.32,3.99,5.45,5,7,2.32,4.67,2.79,3.62,3.99,4.15,7.51,,,
February,,,,,,,0.99,1.15,1.19,2.44,0.94,0.69,3.35,6.76,8.68,1.06,2.24,3.11,2.56,1.56,3.99,1.68,1.23,5.13,4.64,1.32,1.94,1.1,3.85,2.8,8.51,3.42,3.23,2.36,3.61,4.51,6.24,0.62,7.47,1.82,5.43,0.6,4.72,4.46,1.5,5.4,4.06,1.31,4.97,,,
March,,,,,,,3.18,1.85,3.24,2.66,4.69,2.6,1.32,0.79,3.63,4.07,5.84,4.4,2.22,1.81,0.91,4.48,2.3,6.76,2.26,4.07,4.86,3.94,3.89,3.04,1.31,3.44,4.52,7.39,6.06,1.98,4.05,3.05,2.23,4.91,3.06,4.26,3.24,2.5,1.31,2.17,1.85,5.1,2.18,,,
April,,,,,,2.31,3.42,1.64,3.22,3.76,2.27,2.86,2.11,0.9,3.56,2.86,2.12,3.32,3.16,4.02,2.83,2.65,2.67,2.07,4.28,3.74,1.43,2.93,1.37,4.02,4.35,2.75,1.82,4.52,1.69,2.19,1.93,1.84,1.85,5.01,6.37,2.1,4.02,3.22,2.03,3.05,2.75,3.75,1.24,,,
May,,,,,,2.95,6.12,3.29,1.06,3.32,4.13,4.3,5.6,2.56,3.26,2.04,0.57,1.34,4.34,3.52,1.58,2.1,3.48,5.53,3.3,1.3,3.71,3.35,4.85,3.4,3.32,2.5,4.72,3.63,2.88,2.19,2.51,2.48,3.17,2.89,5.28,2.6,1.45,5.14,6.48,3.18,4.62,1.46,2.17,,,
June,,,,,,4.36,2.03,0.56,3.53,0.65,4,2.92,4.69,2.39,4.47,2.92,3.44,3.99,3.51,1.22,4.6,1.93,2.35,2,1.73,2.87,2.31,7.35,2.46,3.22,3.42,1.91,5.42,3.13,3.74,1.86,3.72,2.07,2.31,2.02,3.41,0.52,3.09,1.12,1.9,0.07,3.47,4.28,5.69,,,
July,,,,,,1.84,4.28,2.01,8.63,4.41,3.79,3.71,4.09,4.83,4,7.35,3.09,4.18,1.17,2.37,3.7,4.24,3.4,4.24,3.03,3.27,2.25,2.72,4.07,6.39,6.4,2.83,3.27,1.86,3.24,5.35,2.36,2,4.83,3.68,8.79,1.73,4.78,4.42,3.5,2.33,3.35,3.16,1.55,,,
August,,,,,,1.8,2.81,1.98,4.05,7.26,6.53,10.75,5.82,3.15,5.62,3.85,2.16,3.75,6.05,2.7,6.29,2.84,4.17,6.03,4.99,5.01,4.45,5.71,3.02,5.17,3.56,3.89,9.79,2.24,3.25,5.41,2.25,7.69,4.19,4.26,2.54,6.4,5.04,4.5,3.67,4.08,4.53,5.68,4.19,,,
September,,,,,,4.59,3.66,4.77,1.73,4.68,2.14,4.49,5.68,4.68,1.1,1.41,8.07,4.52,0.74,6.93,1.94,0.79,3.45,5.85,1.16,4.3,1.61,0.76,3.99,2.97,1.45,4.41,2.25,2.36,2.66,0.67,3.36,3.03,12.36,3.22,2.1,1.05,4.77,3.82,4.76,3,3.35,6.18,0.63,,,
October,,,,,,7.36,5.76,3.87,2.36,7.38,4.33,7.6,8.85,4.16,7.25,5.25,6.04,2.54,5.17,4.36,5.66,3.84,6.26,9.74,2.48,3.21,5.36,5.74,2.4,6.91,2.63,3.84,4.98,3.83,3.14,2.14,7.58,7.01,3.37,3.77,1.77,2.48,1.27,4.28,5.38,4.69,3.03,3.83,4.98,,,
November,,,,,,2.91,2.47,3.06,9.94,2.39,7.68,5.58,4.06,4.65,3.36,4.61,2.61,4.67,2.47,2.32,3.71,6.68,2.24,4.03,2.52,4.32,5.4,5.54,2.85,0.38,2.93,5.78,1.78,4.67,5.95,2.56,4.31,5.91,3.08,3.87,1.66,2.4,2.97,4.92,1.97,2.51,4.63,4.74,6.77,,,
December,,,,,,1.84,6.33,2.99,3.16,3.11,0.66,10.87,2.25,6.27,4.04,4.46,5.51,5.38,4.94,2.75,6.21,4.87,4.21,2.27,2.79,3.14,2.68,4.14,2.69,6.46,7.57,7.58,7.89,3.4,8.74,9.4,3.86,2.88,9.12,6.3,4.69,6.5,4.09,3.71,4.66,3.58,2.76,1.38,2.33,,,
Total,,,,,,,45.9,28.98,43.98,44.87,46.82,60.52,52.87,42.59,53.71,41.98,43.71,42.9,39.06,41.22,47.82,38.15,39.51,58.13,37.25,39.16,40.26,46.4,37.56,47.6,47.79,44.75,53.55,43.77,49.32,46.78,47.57,40.9,57.97,47.2,50.1,37.64,41.76,46.76,39.95,37.68,42.39,45.02,44.21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is at north end of reservoir as described in the notes on the 1910s record and is about 100 yards east of the New Gauge position.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The New Gauge and Old Gauge overlap from 1915 to 1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
