WESTWARD-HO-GOLF-CLUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS443297,Long,-4.22251,Lat,51.045494,Elevation,10,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.01,3.8,1.43,1.14,4.49,3.64,4.22,3.34,3.39,1.9,3.46,3.22,4.8,5.4,5.74,1.41,5.97,4.06,4.47,2.68,3.67,1.15,4.16,4.82,4.78,5.43,2.87,3.06,3.71,5.88,2.76,3.5,4.21,3.79,7.16,1.49,0.81,3.97,3.62,0.75,1.5,4.11,3.72,3.27,3.62,4.81,4.48
February,,,,,3.4,5.95,6.45,1.07,1.86,2.97,1.13,0.25,3.81,6.86,0.56,5.53,2,2.5,3.06,1.27,1.36,2.49,0,2.5,0.22,3.04,2.37,5.41,1.05,1.62,3.22,3.73,0.3,2.88,0.32,3.67,3.08,0.99,1.74,1.4,4.51,3.31,1.16,1.42,2.99,3.56,0.57,6.01,4.7,0.3,3.22
March,,,,,5.15,0.83,2.66,2.18,1.49,3.94,3.3,2.16,3.65,1.24,1.72,0.88,0.5,3.2,3.03,0.42,2.22,1.75,2.12,3.11,2.29,1.12,2.11,2.62,0.24,1.4,2.12,2.75,1.51,1.06,0.2,1.46,0.93,6.54,1.68,1.64,1.34,3.5,1.86,1.1,2,1.15,0.45,3.53,0.87,3.68,1.8
April,,,,,1.8,1.11,0.89,2.11,1.5,2.07,3.96,0.67,3.73,1.91,2.47,2.52,1.4,1.8,1.41,0.61,2.1,2.33,2.32,1.83,2.38,3.74,2.29,2.67,0.16,1.58,2.79,0.55,1.84,0.75,2.34,0.66,2.07,2.66,2.01,2.41,1.76,2.15,2.96,1.9,0.32,1.64,2.21,0.21,1.03,2.61,3.04
May,,,,,1.11,2.91,1.71,1.63,1.02,0.97,1.71,1.19,1.34,1.97,2.26,3.7,1.4,0.8,1.08,3.45,1.79,2.95,3.1,2.29,1.68,1.92,0.76,2,2.33,0.93,0.9,2.22,4.7,3.31,1.24,3.68,3.9,2.4,2.19,2.37,1.36,2.56,2.52,3.11,1.93,3.11,1.03,2.83,3.21,1.35,1.28
June,,,,,1.72,1.08,1.66,4.74,0.9,1.23,1.69,0.17,1.18,0.85,1.29,0,1.6,2,2.49,2.86,0.33,3.13,0.87,1.42,1.72,3.12,2.57,1.09,1.65,1.32,0.72,0.95,0.26,1.39,2.67,2.69,3.4,3.79,2,0.34,1.03,0.82,1.37,0.91,2.52,3.18,1.87,1.97,3.67,1.03,1.22
July,,,,,3.91,4.18,1.13,2.45,3.54,0.86,3.43,1.06,2.14,2.45,4.21,3.13,1.6,2.7,1.73,2.28,2.09,4.37,3.07,2.14,0.45,0.47,7.28,2.16,2.57,4.58,4.32,1.37,2.57,1.88,1.47,4.06,2.89,2.3,2,2.45,3.5,1.64,1.09,4.82,3.27,1.08,5.48,3.65,2.06,2.58,4.74
August,,,,,3.72,1.28,2.27,4.59,2.4,1.88,1.61,2.08,3.53,2.14,3.96,2.58,2,3.9,2.86,2.26,2.72,3.58,1.43,0.74,4.69,3.03,0.41,1.2,7.64,3.37,0.13,3.95,2.62,2.55,3.23,2.23,5.14,0.4,4.13,2,6.05,3.04,5.09,2.56,1.94,0.04,3.91,3.29,4.89,1.56,4.02
September,,,,,2.08,1.07,2.16,1.98,7.9,1.38,3.03,1.76,2.35,2.8,3.6,3.41,1.5,7.5,1.84,0.84,4.55,1.6,4.02,1.41,3.16,3.96,2.23,3.44,1.1,0.61,1.87,0.2,3.69,5.53,3.2,2.17,4.33,1.36,1.86,1.58,5.08,2.4,4.01,3.83,2.75,1.18,5.64,4.66,5.89,0.38,5.14
October,,,,,2.02,4.07,5.05,6.74,1.85,1.1,4.86,1.3,1.25,5.83,4.27,3.26,2.9,2,7,6.86,5.78,0.87,8.41,4.61,3.22,6,1.66,2.4,5.27,2.55,2.59,2.24,2.01,3.37,5.36,4.03,1.33,1.29,4.21,7.04,1.33,1.46,4.09,1.8,4.28,2.62,2.53,4.77,4,4.62,6.97
