ACHONACHIE LODGE [BEAULY],,,,,,,,,,,,,,,,,,,,
Grid ref,NH 44170 54476,Long,-4.605924,Lat,57.553444,Elevation,125,ft,,,,,,,,,,,,
Station no,RR4348,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,4.06,3.59,0.93,2.93,0.14,4.16,3.41,7.03,2.21,4.22,3.67,2.09,1.93
February,,,,,,,,5.44,1.43,1.07,2.87,2.78,3.52,3.34,3.17,3.74,1.64,3.3,1.22,3.79
March,,,,,,,,1.99,3.18,4.04,1.59,2.6,5.36,1.5,2.75,2.11,1.28,1.35,2.85,2.22
April,,,,,,,,1.66,0.84,1.09,1.58,1.5,2.62,1.49,0.64,0.86,1.55,1.8,2,2.14
May,,,,,,,,1.71,2.39,2.13,1.07,3.7,1.51,1.01,3.11,3.18,2.13,0.66,2.7,1.64
June,,,,,,,,4.08,2.45,2.36,2.29,2.09,2.82,1.6,1.31,1.07,1.76,0.53,1.91,0.78
July,,,,,,,,1.99,1.27,4.24,5.14,4.45,4.64,4.19,2.79,0.65,2.93,2.37,5.04,1.3
August,,,,,,,,4.88,3.25,3.32,0.56,1.82,1.83,4.11,1.95,1.16,1.19,2.8,2.28,4.92
September,,,,,,,,1.56,4.32,1.99,1.86,1.96,3.27,3.31,1.89,4.39,3.07,2.96,0.6,2.69
October,,,,,,,,5.71,3.25,1.99,1.86,3.25,1.3,3.92,3.69,3.71,1.99,2.83,3.25,3.38
November,,,,,,,,5.4,3.5,1.87,4.78,5.08,4.51,5.22,4.25,1.48,4.31,2.85,6.06,2.63
December,,,,,,,,4.08,2.81,2.57,2.88,3.01,3.84,4.75,5,3.88,3.82,3.05,1.46,2.38
Total,,,,,,,,42.56,32.28,27.6,29.41,32.38,39.38,37.85,37.58,28.44,29.89,28.17,31.46,29.8
,,,,,,,,,,,,,,,,,,,,
Site now under dam,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR4348,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"1879 total edited to match sum, although one of the months could have been edited instead",,,,,,,,,,,,,,,,,,,,
