BUDE (SCHOOL HOUSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS207062,Long,-4.547272,Lat,50.8275,Elevation,16,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,
January,,2.9,2.93,2.78,3.81,2.88,5.68,2.7,1.65,1.86,4.08,2.26,2.14,2.35,4.02,3.49,1.04,1.93,1.25,5.21,4.87,2.5,1.89,4.99,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,2.67,2.03,5.21,2.97,2.62,1.29,0.71,1.32,2.76,0.88,0.49,2.46,4.21,3.18,0.03,0.82,5.03,2.5,2.29,5.22,1.4,1.02,2.07,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,2.5,1.38,0.83,2.88,0.89,3.31,1.4,3.59,3.67,1.01,2.49,0.68,0.47,2.28,2.86,3.19,3.25,1.06,1.08,1.29,2.56,2.63,4.81,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,0.65,3.68,1.33,1.86,2.43,1.56,1.03,1.29,1.34,3.3,1.81,1.16,0.72,1.36,1.69,0.7,3.67,1.23,2.94,1.23,3.06,0.91,1.77,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,1.68,2.4,1.69,1.25,2.43,1.87,1.18,1.21,2.6,2.82,2.59,1.13,1.53,3,0.38,0.08,1.31,4.67,1.07,1.29,0.65,1.62,1.64,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,1.83,3.09,4.06,2.46,0.77,3.47,0.76,0,2.05,0.18,2.12,2.12,1.41,1.1,1.71,1.89,0.94,2.77,1.75,0.85,3.53,2.54,2.69,0.93,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,5.91,2.36,4.13,2.41,2.21,1.01,2.33,0.91,3.86,2.9,3.34,2.21,1.93,4.7,4.16,3.56,1.59,2.97,0.57,0.58,0.99,1.37,2.37,2.91,5.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1.05,3.77,3.92,1.79,1.66,1.44,0.74,1.42,2.32,2.14,3.99,5.07,2.96,0.9,3.67,2.21,1.98,5.24,3.53,1.06,2.89,2.43,2.02,4.98,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,3.38,2.1,3.77,3.86,1.79,6.17,1.88,5.36,1.6,1.61,1.53,4.86,3.41,3.52,2.5,0.47,4.19,6.27,1.04,3.11,1.8,2.04,1.93,2.74,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,4.64,2.64,5.21,3.58,2.27,5.18,6.52,3.36,1.84,4.03,2.29,5.9,3.03,3.61,4.33,6.74,4.3,1.71,7.38,4.18,4.02,3.19,3.33,9.17,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,2.9,3.85,6.55,5.6,2.31,3.37,3.63,3.57,5.57,1.51,4.67,2.89,3.34,2.63,6.8,5.37,1.16,2.3,1.72,2.99,4.98,1.39,4.05,2.79,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,5.76,5.54,6.51,1.19,6.22,1.6,6.19,2.84,4.5,3.21,3.05,4.79,2.66,4.79,3.13,3.87,5.62,5.28,4.82,3.14,5.49,6.24,3.55,3.47,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,33.75,46.57,32.73,30,33.49,35.76,24.48,30.8,27.81,33.08,37.48,26.31,30.53,40.14,32.56,25.61,41.73,31.52,28.5,37.6,29.37,28.01,42.27,33.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905 NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
