"BUDE",,,,,,,,,,,,
Grid ref,SS207062,Long,-4.547272,Lat,50.827500,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.87,2.50,1.89,4.99,4.65,1.85,,,,,,
February,5.22,1.40,1.02,2.07,4.92,1.32,,,,,,
March,1.29,2.56,2.63,4.81,1.58,4.69,,,,,,
April,1.23,3.06,0.91,1.77,1.25,2.06,,,,,,
May,1.29,0.65,1.62,1.64,2.80,,,,,,,
June,3.53,2.54,2.69,0.93,0.89,,,,,,,
July,0.99,1.37,2.37,2.91,5.09,,,,,,,
August,2.89,2.43,2.02,4.98,2.46,,,,,,,
September,1.80,2.04,1.93,2.74,1.32,,,,,,,
October,4.02,3.19,3.33,9.17,2.24,,,,,,,
November,4.98,1.39,4.05,2.79,3.44,,,,,,,
December,5.49,6.24,3.55,3.47,2.83,,,,,,,
Total,37.60,29.37,28.01,42.27,33.47,,,,,,,
Calc annual,37.60,29.37,28.01,42.27,33.47,9.92,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,,
