"BUDE (SCHOOL HOUSE)",,,,,,,,,,,,
Grid ref,SS208063,Long,-4.545903,Lat,50.828429,,,,,,,
Station no,1894,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.92,3.40,1.22,2.25,4.17,3.35,2.55,3.48,4.22,4.33,,
February,3.70,1.23,1.65,4.10,2.67,0.52,3.71,4.10,0.62,2.65,,
March,4.68,3.18,1.01,2.50,1.03,2.52,3.10,1.09,3.41,2.12,,
April,2.45,2.65,2.34,0.79,1.57,0.76,0.25,0.98,2.24,3.24,,
May,3.62,2.45,2.45,2.10,2.89,0.76,1.57,2.55,1.14,1.65,,
June,0.51,1.92,1.13,2.73,2.46,1.91,2.72,3.82,0.69,1.32,,
July,1.03,0.89,4.47,4.73,1.64,4.12,2.89,2.85,2.34,4.66,,
August,4.48,5.47,2.75,2.77,0.34,3.04,3.45,6.65,2.27,3.70,,
September,2.53,3.32,3.49,3.40,1.34,3.62,3.72,5.98,0.29,5.85,,
October,1.76,5.07,2.05,3.51,2.48,1.98,4.22,3.56,4.68,9.37,,
November,3.84,4.45,2.56,6.70,2.04,1.21,1.93,4.01,7.41,6.36,,
December,3.66,4.00,1.32,2.98,5.68,3.99,1.89,3.97,7.22,5.25,,
Total,37.18,38.03,26.44,38.56,28.31,27.78,32.00,43.04,36.53,50.50,,
Calc annual,37.18,38.03,26.44,38.56,28.31,27.78,32.00,43.04,36.53,50.50,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
