"ROCHDALE ASHWORTH MOOR",,,,,,,,,,,,
Grid ref,SD832156,Long,-2.255554,Lat,53.636646,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.80,2.85,3.75,4.02,2.04,6.16,2.07,4.51,2.57,,
February,,1.89,2.12,3.70,3.39,2.23,3.66,2.55,3.58,2.82,,
March,,3.44,2.83,4.95,2.36,3.55,3.79,4.01,3.40,3.81,,
April,,3.03,2.33,2.33,2.63,2.97,1.87,2.31,2.86,4.09,,
May,,1.52,3.53,4.01,2.96,0.61,4.03,4.64,3.43,3.31,,
June,4.27,2.22,1.41,2.39,1.32,4.03,1.50,8.56,2.18,2.93,,
July,2.56,1.85,3.19,5.12,2.13,3.06,2.05,3.90,5.52,6.77,,
August,5.68,3.08,3.71,6.12,5.11,5.28,5.07,5.13,3.95,3.32,,
September,1.68,2.19,2.38,5.30,1.54,3.01,1.58,1.47,4.26,3.51,,
October,5.94,3.71,5.05,10.54,2.61,3.65,7.64,5.12,2.47,6.22,,
November,4.21,6.39,3.08,3.76,3.36,4.98,4.77,3.71,3.28,1.58,,
December,6.04,5.89,3.52,2.39,3.26,0.97,4.51,4.79,3.73,6.82,,
Total,,38.01,36.00,54.36,34.69,36.38,46.63,48.26,43.17,47.75,,
Calc annual,30.38,38.01,36.00,54.36,34.69,36.38,46.63,48.26,43.17,47.75,,
Difference,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
