"KNIGHTON (WATERWORKS) ",,,,,,,,,,,,
Grid ref,SZ567868,Long,-1.198879,Lat,50.678107,,,,,,,
Station no,601/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,3.19,1.30,1.73,4.03,5.07,2.48,4.50,3.41,4.75,,
February,,0.77,1.42,2.82,2.14,0.35,4.49,2.73,0.25,3.23,,
March,,3.09,0.39,4.13,1.08,0.37,1.76,1.27,2.32,3.13,,
April,,1.73,1.53,0.35,0.47,1.59,0.14,0.55,2.51,1.39,,
May,,1.92,2.82,2.42,3.64,0.36,0.75,3.17,0.57,1.96,,
June,,1.30,1.92,3.35,3.91,2.17,2.20,2.97,0.59,1.60,,
July,,0.79,3.13,4.32,0.94,2.25,4.14,1.57,1.75,3.13,,
August,,2.51,2.04,2.72,0.99,4.65,2.54,3.72,2.06,5.28,,
September,,6.35,3.28,3.18,2.18,4.07,3.47,4.18,0.18,5.71,,
October,,4.78,3.50,3.22,2.17,1.19,2.53,2.65,3.51,8.35,,
November,,5.28,1.73,6.91,2.19,0.84,2.98,2.47,4.01,7.45,,
December,,3.21,0.84,3.77,5.74,5.49,2.97,4.41,8.89,5.81,,
Total,,34.92,23.90,38.92,29.48,28.40,30.45,34.19,30.05,51.79,,
Calc annual,0.00,34.92,23.90,38.92,29.48,28.40,30.45,34.19,30.05,51.79,,
Difference,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
