"BRADING RYDE WATER WORKS KNIGHTON",,,,,,,,,,,,
Grid ref,SZ566867,Long,-1.200309,Lat,50.677217,,,,,,,
Station no,601/8,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.42,3.66,5.60,1.22,8.36,1.05,1.26,1.36,,
February,,,1.60,2.06,5.16,0.68,3.96,1.64,1.16,0.40,,
March,,,2.46,3.35,1.55,5.89,1.45,0.62,2.97,4.55,,
April,,,1.69,3.12,1.77,2.38,1.65,4.99,2.45,1.41,,
May,,,2.93,2.77,4.56,0.43,2.08,2.46,1.92,1.58,,
June,,,2.39,3.52,0.98,5.13,1.45,1.95,0.75,3.79,,
July,,,0.70,2.68,1.07,0.30,0.54,0.87,1.92,2.23,,
August,,,4.59,4.49,3.43,2.75,0.89,1.27,3.16,2.29,,
September,,,0.85,3.05,2.27,3.86,1.27,1.05,2.49,3.74,,
October,,,3.18,8.24,2.94,2.50,5.83,6.51,2.14,9.04,,
November,,,4.54,2.16,1.47,6.10,6.95,2.79,1.09,1.31,,
December,,,2.60,2.67,3.45,0.82,2.28,3.07,4.53,5.02,,
Total,,,28.95,41.77,34.25,32.06,36.71,28.27,25.84,36.72,,
Calc annual,0.00,0.00,28.95,41.77,34.25,32.06,36.71,28.27,25.84,36.72,,
Difference,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
