KNIGHTON-WW,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ567868,Long,-1.19876,Lat,50.6781,Elevation,70,ft,,,,,,,,,,,,
Station no,601/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,1.42,3.66,5.6,1.22,8.36,1.05,1.26,1.36,2.5,1.42,5.64,6.51,0.9,,,,,
February,,,1.6,2.06,5.16,0.68,3.96,1.64,1.16,0.4,3.97,1.7,2.95,1.29,5.57,,,,,
March,,,2.46,3.35,1.55,5.89,1.45,0.62,2.97,4.55,1.43,1.76,5.68,3.51,6.46,,,,,
April,,,1.69,3.12,1.77,2.38,1.65,4.99,2.45,1.41,1.56,1.37,0.05,3.37,1.47,,,,,
May,,,2.93,2.77,4.56,0.43,2.08,2.46,1.92,1.58,1.49,1.25,1.21,3.29,1.14,,,,,
June,,,2.39,3.52,0.98,5.13,1.45,1.95,0.75,3.79,3.1,1.79,4.17,0.94,0.54,,,,,
July,,,0.7,2.68,1.07,0.3,0.54,0.87,1.92,2.23,3.17,0.55,2.07,1.42,3.4,,,,,
August,,,4.59,4.49,3.43,2.75,0.89,1.27,3.16,2.29,2.04,0.67,9.04,1.75,2.14,,,,,
September,,,0.85,3.05,2.27,3.86,1.27,1.05,2.49,3.74,0.18,1.42,3.55,3.74,1.86,,,,,
October,,,3.18,8.24,2.94,2.5,5.83,6.51,2.14,9.04,6.02,6.67,4.56,5.12,4.78,,,,,
November,,,4.54,2.16,1.47,6.1,6.95,2.79,1.09,1.31,5.24,7.75,2.7,4.1,5.73,,,,,
December,,,2.6,2.67,3.45,0.82,2.28,3.07,4.53,5.02,4.8,9.64,5.01,2.87,12.21,,,,,
Total,,,28.95,41.77,34.25,32.06,36.71,28.27,25.84,36.72,35.5,35.99,46.63,37.91,46.2,,,,,
,,,,,,,,,,,,,,,,,,,,
1904 Gauge is on open ground 300 yds S of Chalk Downs,,,,,,,,,,,,,,,,,,,,
1912 Jan 1 Gauge moved 100ft S,,,,,,,,,,,,,,,,,,,,
