LOWER LARGO (CARDY HOUSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 42201 02677,Long,-2.933451,Lat,56.213148,Elevation,15,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5484/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,0.8,2.26,2.61,1.39,1.7,1.45,0.91,4.29,2.44,3.21,4.63,1.38,3.17,3.13,,,,,,,,
February,,,,,,,,,,1.3,0.8,1.48,0.11,2.29,0.09,1.54,3.52,3.31,0.84,1.88,1.06,4.47,0.87,,,,,,,,
March,,,,,,,,,,0.13,2.12,1.03,2.71,0.81,4.07,1.4,2.54,2.49,0.75,2.94,2.77,2.69,2.38,,,,,,,,
April,,,,,,,,,,1.81,1.88,2.21,1.79,1.77,6.17,2.64,0.75,1.21,0.05,1.1,1.71,1.59,2.09,,,,,,,,
May,,,,,,,,,,2.18,1.6,1.48,2.63,1.22,1.93,0.69,0.86,2.18,4.21,0.91,2.96,1.98,3,,,,,,,,
June,,,,,,,,,,1.41,1.47,4.56,1.13,1.79,1.68,2.79,0.99,2.15,3.24,1.57,0.37,0.61,0.93,,,,,,,,
July,,,,,,,,,,2.34,3.02,4.63,2.56,2.15,1.75,0.89,3.16,3.11,4.14,3.32,5.19,2.37,3.09,,,,,,,,
August,,,,,,,,,,4.39,4.78,2.46,0.28,1.87,3.74,1.61,1.35,3.7,1.8,1.55,0.91,2.65,1.75,,,,,,,,
September,,,,,,,,,,0.62,3.88,1.17,1.7,1.79,2.68,3.55,4.2,1.77,1.97,1.51,2.29,0.94,1.94,,,,,,,,
October,,,,,,,,,,2.09,2.37,1.15,5.91,2.64,2.63,4.33,1.27,2.35,4.7,2.66,3.43,2.8,,,,,,,,,
November,,,,,,,,,,3.12,3.67,6.24,1.44,1.54,0.99,3.92,2.49,0.54,3.25,3.3,4.99,2.59,,,,,,,,,
December,,,,,,,,,,2.64,1.9,0.5,4.01,1.1,3.26,1.88,1.93,3.98,2.93,1.52,1.33,0.89,,,,,,,,,
Total,,,,,,,,,,22.83,29.75,29.52,25.66,20.67,30.44,26.15,27.35,29.23,31.09,26.89,28.39,26.75,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5484/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
