SOUTHBOROUGH-BENTHAM-HILL,,,,,,,,,,
Grid ref,TQ568420,Long,0.24077785,Lat,51.155775,Elevation,350,ft,,
Station no,RR8349,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,2.78,1.47,2.46,4.4,0.79,,,,,
February,4.36,1.61,2.33,1.03,4.65,,,,,
March,1.77,2.16,5.25,3.14,6.02,,,,,
April,2.11,1.81,0.11,3.02,1.48,,,,,
May,2.3,1.12,1.13,1.76,1.08,,,,,
June,2.48,2.01,2.82,0.74,0.58,,,,,
July,2.42,0.43,1.38,2.62,1.85,,,,,
August,2.63,0.7,6.26,1.3,1.07,,,,,
September,0.38,1.57,2.99,1.72,0.96,,,,,
October,3.03,5.9,3.85,5.31,2.15,,,,,
November,3.74,5.8,2.31,3.92,4.69,,,,,
December,3.83,6.59,3.62,1.4,8.22,,,,,
Total,31.83,31.17,34.51,30.36,33.54,,,,,
