"BEAMINSTER FLEET STREET",,,,,,,,,,,,
Grid ref,ST480014,Long,-2.739398,Lat,50.809806,,,,,,,
Station no,1605,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.48,3.61,1.17,3.45,5.55,0.68,7.48,1.58,1.37,1.19,,
February,6.45,1.56,2.15,1.75,5.31,0.66,4.00,1.85,1.96,0.47,,
March,1.56,3.35,2.30,5.36,1.94,5.73,1.57,0.79,3.57,5.19,,
April,1.60,3.63,2.44,3.73,1.37,2.58,1.10,5.19,2.67,2.15,,
May,1.97,2.00,2.27,3.04,2.60,0.80,2.76,2.58,2.01,1.44,,
June,3.24,1.39,3.69,2.73,1.34,2.28,1.21,2.17,0.44,4.64,,
July,0.94,2.08,1.90,3.73,4.44,0.64,1.31,1.25,2.06,3.79,,
August,3.08,2.62,4.45,4.54,3.88,4.70,1.12,2.04,3.75,2.91,,
September,1.15,4.25,2.19,5.16,3.34,2.08,1.41,0.69,2.56,2.70,,
October,2.69,2.86,2.33,8.34,2.12,2.77,6.33,8.09,3.86,8.76,,
November,4.58,0.85,4.38,1.96,1.70,6.09,4.36,3.90,1.19,0.87,,
December,7.30,7.60,2.48,4.71,3.79,0.91,1.96,5.12,4.21,6.55,,
Total,40.04,35.80,31.75,48.50,37.38,29.92,34.61,35.25,29.65,40.66,,
Calc annual,40.04,35.80,31.75,48.50,37.38,29.92,34.61,35.25,29.65,40.66,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
