SUDBURY-GREAT-CORNARD,,,,,,,,,,,
Grid ref,TL885399,Long,0.74611253,Lat,52.025479,Elevation,64,ft,,,
Station no,RR6821,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,3.35,1.3,,,,,,,
February,,,1.54,3.16,,,,,,,
March,,,1.81,1.44,,,,,,,
April,,,2.52,1.38,,,,,,,
May,,,1.22,1.18,,,,,,,
June,,,1.17,0.63,,,,,,,
July,,,3.39,1.42,,,,,,,
August,,,1.99,1.58,,,,,,,
September,,,3.34,1.73,,,,,,,
October,,,0.71,4.41,,,,,,,
November,,,1.19,2.42,,,,,,,
December,,1.33,1.97,2.62,,,,,,,
Total,,,24.2,23.27,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1921 Nov Gauge moved,,,,,,,,,,,
