SUDBURY GREAT CORNARD,,,,,,,,,,,,
Grid ref,TL883399,Long,0.743201,Lat,52.025547,,,,,,,
Station no,RR6821,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.78,,
February,,,,,,,,,,1.10,,
March,,,,,,,,,,2.84,,
April,,,,,,,,,,2.23,,
May,,,,,,,,,,0.87,,
June,,,,,,,,,,3.85,,
July,,,,,,,,,,3.83,,
August,,,,,,,,,,2.34,,
September,,,,,,,,,,1.76,,
October,,,,,,,,,,3.52,,
November,,,,,,,,,,0.82,,
December,,,,,,,,,,3.83,,
Total,,,,,,,,,,27.77,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.77,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
