SUDBURY-GREAT-CORNARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL883399,Long,0.743201,Lat,52.025547,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,0.78,1.67,1.19,2.68,3.14,1.62,2.62,1.09,1.43,2.76,2.34,2.09,2,,,,,,,,,
February,,,,,,,,,,1.1,1.92,1.04,1.24,0.63,1.93,3.01,3.51,0.66,0.61,2.41,0.39,0.2,,,,,,,,,
March,,,,,,,,,,2.84,0.89,2.43,2.84,1.95,4.18,1.46,3.12,1.77,0.92,2.22,1.25,0.8,,,,,,,,,
April,,,,,,,,,,2.23,1.9,0.75,0.33,2.32,0.78,0.78,1.38,1.52,2.51,3.94,3.97,1.55,,,,,,,,,
May,,,,,,,,,,0.87,2.62,1.86,1.09,2.18,1.39,2.16,1.86,0.93,1.59,0.69,1.11,0.89,,,,,,,,,
June,,,,,,,,,,3.85,1.82,2.36,1.76,1.27,0.93,0.76,2.25,1.74,0.78,1.33,1.14,0.15,,,,,,,,,
July,,,,,,,,,,3.83,2.06,0.31,3.51,1.2,1.46,3.75,1.62,2.16,5.14,2.81,5.6,0.33,,,,,,,,,
August,,,,,,,,,,2.34,2.3,1.37,6.16,0.62,0.64,2.92,3.86,5.56,1.06,2.2,1.47,1.91,,,,,,,,,
September,,,,,,,,,,1.76,0.99,1.5,2.41,1.17,1.14,1.1,1.58,1.36,3.33,0.98,2.52,1.78,,,,,,,,,
October,,,,,,,,,,3.52,1.09,2.09,1.75,3.24,1.61,1.2,3.14,3.66,2.37,0.84,0.72,1.31,,,,,,,,,
November,,,,,,,,,,0.82,2.6,3.15,1.84,2.4,2.45,2.07,3.53,1.56,1.94,2.14,0.57,,,,,,,,,,
December,,,,,,,,,,3.83,3.92,3.8,2.1,0.69,6.12,4.53,2.98,1.38,2.4,3.35,2.53,,,,,,,,,,
Total,,,,,,,,,,27.77,23.78,21.85,27.71,20.81,24.25,26.36,29.92,23.73,25.41,25.25,23.36,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 Nov Gauge moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
