SHREWSBURY FITZ RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ447178,Long,-2.820807,Lat,52.754967,Elevation,238 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,1.16,2.3,2.27,0.63,3.41,1.33,1.14,1.32,2.03,0.56,3.84,3.11,0.99,3.08,1.08,1.66,1.8,2.08,2.39,2.65,3.69,1.3,2.01,2.43,2.52,1.79,3.88,1.14,4.3,1.8,2.32,1.45,2.59,,,,,,,,
February,,,1.21,1.59,3.66,0.92,2.03,1.12,1.29,0.77,2.07,1.32,1.2,0.95,1.9,3.09,3.66,1.17,1.61,2.99,2.73,0.32,2.78,3.97,0.33,4.05,1.7,1.39,2,0.56,0.69,2.64,0.17,2.54,0.2,,,,,,,,
March,,,1.14,3.64,1.55,3.78,1.26,0.83,2.73,2.35,0.47,1.36,2.99,4.58,2.45,0.81,3.08,2.66,1.14,4.97,3.06,1.14,2.76,1.18,1.65,1.15,0.57,2.26,2.11,0.39,2.99,0.4,2.17,1.89,1.53,,,,,,,,
April,,,1.85,1.13,1.01,1.61,0.84,1.61,2.63,2.06,1.81,0.59,0.17,3.43,0.82,1.29,0.81,1.79,2.17,1.64,3.13,1.22,2.26,2.18,2.39,2.01,1.85,2.06,1.41,0.7,2.56,3.79,4.04,0.89,1.61,,,,,,,,
May,,,3.2,2.47,2.17,1.01,1.63,2.46,2.17,0.52,1.73,0.72,2.4,3.23,1.6,2.57,3,4.08,3.29,0.84,2.77,1.09,1.11,2.99,5.87,2.53,3.63,1.15,1.27,1.72,1.94,3.79,4.29,1.24,1.84,,,,,,,,
June,,,2.14,2.11,1.15,3.86,1.8,3.1,2.57,2.75,2.15,2.41,4.2,1.5,1.59,0.99,1.76,2,1.02,1.02,3.32,0.23,1.16,0.42,2.87,0,1.24,3.87,3.12,2.07,1.44,4.2,0.78,2.64,1.34,,,,,,,,
July,,,1.03,2.53,2.38,1.17,0.86,2.44,3.29,2.2,2.52,0.66,2.03,1.07,3.87,5.44,2.37,1.99,2.71,1.68,5.06,0.45,3.15,2.04,4.44,2.17,2.39,1.79,1.36,1.11,3.62,2.36,4.26,1.76,0.97,,,,,,,,
August,,,3.56,4.87,5.15,3.53,1.84,2.64,3.14,1.88,3.1,1.39,5.87,2.01,3.18,2.51,1.35,6.06,1.49,2.63,1.19,4.62,2.17,2.93,3.03,3.39,2.43,4.75,2.85,2.28,2.39,5.53,1.66,0.95,2.32,,,,,,,,
September,,,1.61,4,1.8,1.17,0.66,0.74,2.67,2.17,0.55,2.01,0.61,1.63,0.92,0.61,1.15,1.06,6.7,1.88,2.48,0.61,1.89,1.73,2.93,2.9,1.55,3.09,1.4,1.36,3.15,2.78,1.43,0.78,0.85,,,,,,,,
October,,,2.94,5.97,0.62,1.41,4.82,5.69,1.83,3.18,3.54,2.72,2.55,4.22,1.71,2.61,3.7,3.85,1.5,3.17,3.27,2.47,0.68,3.84,3.75,3.03,2.24,2.43,2.83,2.53,3.24,0.72,4.65,4.7,2.86,,,,,,,,
November,,,1.86,2.43,1.2,2.43,2.37,2.72,1.65,0.6,4.04,2.32,2.36,2.45,2.98,2.84,2.15,1.27,1.31,1.16,0.95,2.53,0.91,2.04,1.6,1.57,4.59,3.74,3.04,4.93,3.29,3.88,2.11,0.72,1.27,,,,,,,,
December,,,2.02,2.26,1.81,0.78,2.2,2.07,2.64,3.9,4.75,3.03,2.28,1.36,6.15,4.96,1.77,1.14,3.82,3.17,2.69,2.1,3.67,2.81,3.24,2.66,0.68,2.26,2.96,4.96,3.37,1.8,0.88,0.62,3.86,,,,,,,,
Total,,,23.72,35.3,24.77,22.3,23.72,26.75,27.75,23.7,28.76,19.09,30.5,29.54,28.16,30.8,25.88,28.73,28.56,27.23,33.04,19.43,26.23,27.43,34.11,27.89,25.39,30.58,28.23,23.75,32.98,33.69,28.76,20.18,21.24,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitz Manor is 200 yards to the east and has records for 1866 to 1890 and 1901 to 1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
