SHREWSBURY FITZ MANOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ449178,Long,-2.817844,Lat,52.754987,Elevation,253,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,,,,,1.95,2.84,2.49,2.61,1.6,1.42,0.97,0.6,1.44,2.65,1.64,3.61,1.8,1.4,0.52,,,,,,,,,,,,,,,,,,,,,1.84,1.24,2.25,2.32,0.59,3.36,1.3,1.06,1.36,2.06,0.54,4.15,3.1,0.93,2.99,1,,,,,
February,,,,,,,2.16,1.66,1.49,2.03,1.03,1.08,3.87,2.78,1.65,1.37,2.22,1.7,0.99,2.18,1.86,,,,,,,,,,,,,,,,,,,,,1.33,1.21,1.55,3.59,0.88,1.96,1.09,1.24,0.78,2.23,1.19,1.25,0.96,1.61,2.93,3.61,,,,,
March,,,,,,,1.25,1.85,1.29,1.17,2.06,0.57,2.35,0.77,1.16,0.69,2.18,1.78,0.89,1.02,0.78,,,,,,,,,,,,,,,,,,,,,2.23,1.17,3.56,1.4,3.64,1.12,0.77,2.6,2.3,0.5,1.35,3.15,4.63,2.35,0.84,3.2,,,,,
April,,,,,,,1.01,2.86,1.5,0.99,0.66,2.4,1.98,1.76,0.82,0.91,2.3,2.74,2.37,2.84,1.4,,,,,,,,,,,,,,,,,,,,,1.74,1.8,1.01,0.95,1.35,0.83,1.63,2.53,2.06,1.88,0.5,0.18,3.24,0.72,1.33,0.8,,,,,
May,,,,,,,0.79,2.64,1.58,4.12,0.73,0.9,2.76,2.15,2.01,1.47,0.57,2,4.31,1.69,2.68,,,,,,,,,,,,,,,,,,,,,0.63,3.05,2.42,2.17,1.01,1.5,2.41,2.04,0.46,1.7,0.72,2.58,3.18,1.41,2.63,3.16,,,,,
June,,,,,,,4.28,1.65,0.22,0.86,0.1,2.58,1.65,1.96,0.29,2.46,1.4,1.43,2.51,4.34,2.37,,,,,,,,,,,,,,,,,,,,,2.29,2.1,2.15,1.09,3.65,1.74,2.91,2.71,2.68,2.15,2.45,4.13,1.44,1.7,0.98,1.85,,,,,
July,,,,,,,2.26,2.37,0.44,1.04,0.5,3.47,6,1.92,1.31,4.93,2.3,2.92,1.52,2.76,2.71,,,,,,,,,,,,,,,,,,,,,4.23,1.01,2.45,2.36,1.24,0.67,2.34,3.11,2.1,2.39,0.62,1.92,1.11,3.68,5.38,2.48,,,,,
August,,,,,,,1.85,1,1.85,1.56,2.86,1.22,6.26,2.52,2.87,2.5,1.7,4.28,4.73,5.49,0.74,,,,,,,,,,,,,,,,,,,,,1.74,3.4,4.87,5.06,3.46,1.75,2.57,3.07,1.82,3.14,1.38,5.89,1.98,3.31,2.71,1.35,,,,,
September,,,,,,,2.09,2.18,0.15,4.66,1.16,4.59,2.7,1.81,2.8,3.46,4.64,1.05,4.84,2.98,1.65,,,,,,,,,,,,,,,,,,,,,1.2,1.61,3.95,1.74,1.09,0.67,0.75,2.58,2.09,0.59,1.98,0.55,1.7,0.87,0.65,1.14,,,,,
October,,,,,,,3.31,2.85,1.95,1.96,4.03,4.22,3.38,2.73,2.45,4.16,2.67,2.43,4.44,1.4,5.73,,,,,,,,,,,,,,,,,,,,,1.91,3.02,6.21,0.53,1.2,4.71,5.98,1.83,3.14,3.69,2.78,2.51,4.25,1.82,2.67,3.82,,,,,
November,,,,,,,2.15,1.05,1.14,2.02,2.41,0.8,5.75,1.64,2.98,3.28,4.33,2.85,3.19,1.23,2.56,,,,,,,,,,,,,,,,,,,,,1.85,1.84,2.49,1.13,2.59,2.31,2.74,1.59,0.7,4.08,2.4,2.24,2.51,2.9,2.77,2.16,,,,,
December,,,,,,,1.48,1.75,4.32,3.1,1.95,0.97,3.4,0.62,2.82,0.94,3.88,2.48,1.75,1.19,4.1,,,,,,,,,,,,,,,,,,,,,4,2.01,2.18,1.75,0.66,2.15,2.02,2.8,4,4.75,3.23,2.28,1.26,5.69,4.95,1.73,,,,,
Total,,,,,,,24.58,24.7,18.42,26.12,19.09,24.22,41.07,21.26,22.6,28.82,29.83,29.27,33.34,28.52,27.1,,,,,,,,,,,,,,,,,,,,,24.99,23.46,35.09,24.09,21.36,22.77,26.51,27.16,23.49,29.16,19.14,30.83,29.36,26.99,30.83,26.3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
