HALIFAX W.W. (GORPLE RES.) NO.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD930301,Long,-2.107675,Lat,53.767198,Elevation,1275,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3252/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,8.1,3,3.4,5.87,7.79,9.31,5.02,6.8,5.25,11.3,3.95,4.63,7.88,6.6,2.12,5.29,3.57,6.85,5.52,5.81,4.21,6.56
February,,,,,,,,,6.84,3,6.68,2.28,4.7,2.9,6.7,7.67,5.29,3.94,4.8,7.66,4.85,1.74,3.66,4.51,4.11,1.74,5.38,8.74,1.05,5.3
March,,,,,,,,,3.85,4.56,4.77,4.4,1.78,1.07,2.04,1.63,10.38,2.7,2.45,3.35,5.19,2.94,2.68,4.02,2.74,2.15,5.1,2.78,2.43,1.99
April,,,,,,,,,2.46,4.5,2.7,2.61,3.6,4.23,3.26,1.76,5.85,3.58,4.88,4.66,3.53,4.32,4.22,1.04,2.74,4.15,0.56,1.83,4.85,3.42
May,,,,,,,,,1.82,1.6,2.81,4.73,3.99,3.69,5.5,1.9,3.1,2.2,3.35,2.63,3.45,2.37,3.23,4.34,4.9,2.23,2.05,6.02,2.66,2.53
June,,,,,,,,5.57,4.17,1.12,0.79,1.56,4.9,4.97,5.88,4.04,3.04,6.36,0.98,2.91,1.82,4.32,7.02,3.71,3.63,3.53,2.81,4.94,4.41,1.58
July,,,,,,,,7.05,8.98,5.96,2.51,6.71,3.45,4.44,3.56,4.8,4.51,2.93,2.79,5.88,4.75,3.18,6.51,6.3,1.01,6.73,6.81,4.7,3.48,6.84
August,,,,,,,,6.29,5.11,3.65,8.71,5.98,7.76,4.18,5.31,8.51,0.41,6.01,3.54,8.32,6.07,7.33,6.3,9.05,1.46,11.78,7.51,3.96,1.11,6.92
September,,,,,,,,2.52,1.7,5.08,1.12,3.91,5.76,7.77,4.09,8.7,4.43,4.67,1.53,8.75,4.08,5.08,5.13,7.01,3.64,5.32,7.44,5.94,0.47,3.43
October,,,,,,,,13.79,3.23,5.82,7.01,10.04,4.22,6.61,7.13,1.51,1.58,3.25,6.98,3.71,1.63,6.94,2.86,10.09,3.63,2.99,7.05,5.04,6.7,6.81
November,,,,,,,,10.49,10.27,10.19,3.6,1.63,5.11,9.44,0.88,10.82,7.54,3.01,7.93,7.18,12.33,3.41,6.48,8.65,3.4,2.43,2.83,2.12,6.83,8.57
December,,,,,,,,6.41,3.85,6.82,4.75,5.34,3.88,6.77,4.29,5.78,5.2,6.08,9.56,3.65,11.45,5.26,2.7,9.33,6.72,7.25,6.91,5.4,10.17,5.7
Total,,,,,,,,,60.38,55.3,48.85,55.06,56.94,65.38,53.66,63.92,56.58,56.03,52.74,63.33,67.03,53.49,52.91,73.34,41.55,57.15,59.97,57.28,48.37,59.65
