HALIFAX W.W. GORPLE MOOR,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD918311,Long,-2.125906,Lat,53.776168,Elevation,1320,ft,,,,,,,,,,,,,
Station no,3258,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,4.58,5.56,5.37,12.2,1.6,5.88,5.13,6.43,3.39,3.98,2.29,5.06,4.01,5.64,,
February,,,,,,6.9,4.94,2.65,6.35,0.95,0.81,4.65,0.4,5.88,0.49,6.77,3.93,5.29,1.97,,
March,,,,,,1.93,2.75,4.89,3.16,1.06,2.61,0.5,2.78,2.16,2.99,1.81,2.65,2.15,2.34,,
April,,,,,,3.34,2.53,4.32,1.35,1.69,3.39,4.52,3.55,1.94,3.07,2.91,1.14,3.59,0.89,,
May,,,,,,4.49,4.63,1.75,1.71,3.09,2.03,2.36,4.59,3.03,3.14,1.27,1.09,2.83,5.1,,
June,,,,,,0.1,3.68,4.51,7.27,2.31,2.09,7.07,1.14,2.6,2.61,4.63,3.93,2.98,,,
July,,,,,,2,2.93,3.86,1.99,3.05,5.6,4.89,4.09,2.72,2.78,2.17,5.09,2.04,,,
August,,,,,,4.73,4.95,8.12,7.23,4.14,6.78,5.3,1.56,1.67,4.74,1.84,3.5,1.49,,,
September,,,,,,4.19,4.32,5.19,0.81,1.46,4.28,4.7,5.48,2.03,3.75,7.92,4.43,1.02,,,
October,,,,,,6.85,3.79,6.21,6.66,6.13,6.42,2.61,7.05,4.69,4.82,10.3,4.99,2.67,,,
November,,,,,,2.8,7.62,5.72,7.51,8.86,5.72,8.72,2.94,3.15,2.91,6.66,5.95,1.54,,,
December,,,,,,4.35,2.98,1.29,2.76,9.82,3.58,2.98,2.13,0.5,7.34,3.9,5.71,2.83,,,
Total,,,,,,46.26,50.68,53.88,59,44.16,49.19,53.43,42.14,33.76,42.62,52.47,47.47,32.44,,,
