HALIFAX W.W. (GORPLE RES.) NO.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD918311,Long,-2.125906,Lat,53.776168,Elevation,1160,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3253/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6.96,3,3.3,5.9,7.32,8.62,4.98,5.8,4.73,10,3.04,4.16,5.13,6.12,1.76,5.04,3.23,6.16,5.08,5.75,3.98,6.01
February,,,,,,,,,5.77,2.85,6.67,2.22,4.7,2.91,6.03,6.73,5.29,3.63,3.76,6.94,4.7,1.38,3.57,4.65,4.2,2.04,5.2,8.48,0.98,5.41
March,,,,,,,,,3.37,4.11,4.72,3.95,1.6,1.04,1.67,1.6,10.95,2.6,2.03,3.02,4.82,2.68,2.54,3.87,2.84,2.09,4.6,2.94,2.39,1.97
April,,,,,,,,,2.36,4.6,2.59,2.52,3.52,3.78,2.83,1.72,5.11,3.22,4.26,4.05,3.38,4.01,3.98,0.87,2.38,4.19,0.52,1.68,4.72,3.71
May,,,,,,,,,2.03,1.43,2.67,4.38,3.61,3.37,5.14,1.98,3.01,2.16,2.88,2.54,3.3,2.46,2.91,4.4,4.34,2.04,2.02,5.84,2.35,2.67
June,,,,,,,,5.22,3.86,1,0.73,1.58,4.23,4.83,5.04,3.94,3.1,5.61,0.94,2.86,1.78,4.15,4.92,3.71,3.64,3.44,2.59,4.99,4.37,1.83
July,,,,,,,,6.73,8.37,5.74,2.25,6.97,3.18,4.07,3.59,4.28,4.38,2.74,2.44,5.88,4.67,2.97,6.16,5.78,1.02,6.32,6.42,4.72,3.48,7.34
August,,,,,,,,6.27,4.88,3.55,8.24,5.81,7.22,3.97,5.64,8.53,0.39,5.62,3.24,7.8,5.93,6.32,6.29,8.91,1.63,12.08,7.46,4.21,1.07,6.61
September,,,,,,,,2.67,1.68,4.8,1.11,3.86,5.24,7.4,3.55,7.68,3.61,4.03,1.54,7.91,3.44,4.83,5.03,6.69,3.54,5.27,7.06,5.73,0.48,3.54
October,,,,,,,,13.27,2.84,5.4,6.51,10.35,3.58,6.1,6.63,1.5,1.42,2.73,6.49,3.61,1.57,6.35,2.74,9.35,3.65,2.81,6.5,4.87,6.38,7.47
November,,,,,,,,9.25,9.39,9.29,3.43,1.55,4.78,8.41,0.78,9.51,6.71,2.54,7.14,6.71,11.78,3.03,6.02,8.74,3.67,2.14,2.8,2,6.9,9.09
December,,,,,,,,6.12,3.62,6.75,4.55,4.58,3.41,5.95,3.95,5.16,4.45,5.4,8.21,3.17,10.55,4.98,2.34,8.7,6.84,6.75,6.42,5.23,10.01,5.97
Total,,,,,,,,,55.13,52.52,46.77,53.67,52.39,60.45,49.83,58.43,53.15,50.28,45.97,58.65,61.05,49.28,48.26,70.71,40.98,55.33,56.67,56.44,47.11,61.62
