ULLAPOOL INVERPOLLY LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NC069143,Long,-5.276106,Lat,58.075546,Elevation,25,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,2.55,4.32,4.63,5.08,6.83,3.35,5.96,4.71,7.29,4.43,2.81,2.63,,4.98,7.45,3.38,3.07,,5,,4.13,,,,,,,,
February,,,0.87,6,3.25,6.11,6.55,6.72,5.14,2.31,4.53,5.31,4.08,2.88,,3.77,3.88,2.14,4.11,,6.68,,3.66,,,,,,,,
March,,,6.39,6.14,1.31,5.1,5.16,4.27,4.3,2.44,3.47,3.17,5.35,4.96,,3.78,2.85,3.05,2.35,,4.3,,2.89,,,,,,,,
April,,,1.53,3.96,6.49,3.59,2.98,2.79,2.57,1.61,5.24,4.97,5.39,2.47,,4.98,2,3.38,1.13,,1.57,,2.38,,,,,,,,
May,,,2.52,1.95,2.54,1.39,3.71,1.94,2.23,1.93,3.5,2.71,2.36,,,1.2,2.34,0.7,1.1,,3.25,,5.51,,,,,,,,
June,,,1.59,1.76,3.81,1.22,1.25,5.44,3.49,1.34,2.16,2.61,3.01,3.77,,0.78,2.76,1.29,3,,1.11,,2.69,,,,,,,,
July,,,3.49,5.13,2.11,2.63,4.72,2.9,1.3,3.74,3.15,5.84,2.77,2.31,,2.15,2.21,0.93,8.18,,0.99,,1.9,,,,,,,,
August,,,2.94,7.27,5.38,4.26,4.29,4.83,4.3,3.35,4.02,3.2,7.56,1.11,,4.84,1.31,3.72,3.85,,2.03,,3.4,,,,,,,,
September,,,4.22,3.81,3.35,6.25,2.4,1.72,5.75,3.1,2.38,5.3,1.77,4.06,,3.18,2.19,4.28,5.39,,3.97,,1.76,,,,,,,,
October,,,3.95,5.66,6.74,5.57,4.06,1.91,2.58,5.58,4.49,2.8,4.96,3.42,,0.56,6.87,7.25,5.76,,0.56,,1.71,,,,,,,,
November,,,2.76,4.72,6.13,4.78,5.83,5.2,6.74,7.56,6.97,5.86,7.7,9.29,,2.28,7.91,8.05,6.69,,5.57,,4.39,,,,,,,,
December,,,5.57,3.65,5.79,4.93,7.53,4.5,5.1,3.98,4.87,4.09,8.18,5.33,,3.66,4.05,3,4.07,,3.95,,6.09,,,,,,,,
Total,,,38.38,54.37,51.53,50.91,55.31,45.57,49.46,41.65,52.07,50.29,55.94,,,36.16,45.82,41.17,48.7,,38.98,,40.51,,,,,,,,
