OLD NEWTON,,,,,,,,,,,,
Grid ref,TM051630,Long,1.001641,Lat,52.226993,,,,,,,
Station no,1351/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.53,1.86,3.59,1.42,2.15,2.34,3.38,,
February,,,,1.55,2.59,1.22,1.88,2.91,0.24,1.04,,
March,,,,1.99,1.68,0.86,1.72,0.74,1.90,1.37,,
April,,,,0.35,0.33,1.26,0.22,1.21,1.59,0.48,,
May,,,,1.73,1.93,0.23,2.11,2.18,0.16,0.40,,
June,,,,2.09,2.55,1.88,1.51,3.41,0.90,1.45,,
July,,,,2.76,0.12,3.88,2.49,2.50,1.34,3.03,,
August,,,,4.67,2.58,4.81,3.77,2.79,1.14,3.47,,
September,,,,1.30,1.82,1.63,3.74,2.88,0.00,3.86,,
October,,,,2.10,4.19,2.27,1.63,1.77,1.82,5.33,,
November,,,,4.38,0.54,0.93,2.59,1.10,1.37,2.84,,
December,,,,2.22,1.69,1.37,1.90,2.92,3.05,3.31,,
Total,,,,26.67,21.88,23.93,24.98,26.56,16.35,29.96,,
Calc annual,0.00,0.00,0.00,26.67,21.88,23.93,24.98,26.56,15.85,29.96,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,-0.00,0.50,0.00,,
