WESTHIDE (THE COURT),,,,,,,,,,,,,,,,,,,,
Grid ref,SO587441,Long,-2.6042559,Lat,52.093693,Elevation,250,ft,,,,,,,,,,,,
Station no,2234/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,3.21,2.18,5.65,3.13,3.4,2.45,6.35,,,,,,,
February,,,,,,,3.47,0.4,0.98,2.81,2.62,0.91,1.46,,,,,,,
March,,,,,,,2.84,0.13,1.1,1.13,2.4,2.31,1.08,,,,,,,
April,,,,,,,1.4,0.13,2.04,2.36,1.07,0.84,0.98,,,,,,,
May,,,,,,,2.03,1.86,0.69,1.74,2.05,3.16,2.56,,,,,,,
June,,,,,,,1.16,1.24,1.51,1.01,2.51,0.32,2.1,,,,,,,
July,,,,,,,2.25,2.55,4.49,2.28,2.18,1.15,1.52,,,,,,,
August,,,,,,,0.64,2.7,1.45,0.64,3.09,3.53,1.99,,,,,,,
September,,,,,,,1.4,1.41,0.57,1.36,0.88,1.44,2.76,,,,,,,
October,,,,,,,3.72,2.27,2.43,3.73,2.26,2.14,2.3,,,,,,,
November,,,,,,,1.26,2.83,4.46,6.21,2.35,0.96,2.02,,,,,,,
December,,,,,,,2.12,3.55,1.31,1.34,1.5,3.93,1.51,,,,,,,
Total,,,,,,,25.5,21.25,26.68,27.74,26.31,23.14,26.63,,,,,,,
