BIRKENHEAD-OXTON,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ304879,Long,-3.0478391,Lat,53.38334,Elevation,163,ft.,,,,,,,,,,,,,
Station no,2789,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,5.06,1.66,4.19,2.97,2.57,1.59,,,,,,,
February,,,,,,,,,2.26,0.88,0.23,2.62,0.06,3.07,,,,,,,
March,,,,,,,,,1.25,0.26,3.37,0.26,1.73,2.32,,,,,,,
April,,,,,,,,,1.2,0.93,3.04,2.34,3.05,0.93,,,,,,,
May,,,,,,,,,1.29,1.39,1.02,2.61,4.21,1.66,,,,,,,
June,,,,,,,,,4.65,1.46,1.49,4.74,0.44,2.03,,,,,,,
July,,,,,,,,,1.81,3.58,5.34,2.29,3.99,2.09,,,,,,,
August,,,,,,,,,2.73,3.41,5.2,6.87,1.32,2.12,,,,,,,
September,,,,,,,,,1.38,1.72,2.76,3.44,2.69,0.88,,,,,,,
October,,,,,,,,,3.46,4.29,4.4,2.02,5.9,3.87,,,,,,,
November,,,,,,,,,3.86,4.52,4.19,4.51,2.53,1.66,,,,,,,
December,,,,,,,,,2.25,4.54,4.17,1.81,1.27,0.75,,,,,,,
Total,,,,,,,,,31.2,28.64,39.4,36.48,29.76,22.97,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is in Oxton with the stated relationship to the church and station and at the stated altitude,,,,,,,,,,,,,,,,,,,,,
