BIRKENHEAD OXTON,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2789,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,5.06,1.66,4.19,
February,,,,,,,,,2.26,0.88,0.23,
March,,,,,,,,,1.25,0.26,3.37,
April,,,,,,,,,1.20,0.93,3.04,
May,,,,,,,,,1.29,1.39,1.02,
June,,,,,,,,,4.65,1.46,1.49,
July,,,,,,,,,1.81,3.58,5.34,
August,,,,,,,,,2.73,3.41,5.20,
September,,,,,,,,,1.38,1.72,2.76,
October,,,,,,,,,3.46,4.29,4.40,
November,,,,,,,,,3.86,4.52,4.19,
December,,,,,,,,,2.25,4.54,4.17,
Total,,,,,,,,,31.20,28.64,39.40,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.20,28.64,39.40,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,
