BIRKENHEAD-OXTON-WEXFORD-ROAD,,,,,,,,,,
Grid ref,SJ297879,Long,-3.058361,Lat,53.383248,Elevation,190,ft.,,
Station no,RR7994,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,1.8,,,,,,,
February,,,2.26,,,,,,,
March,,,1.54,,,,,,,
April,,,2.03,,,,,,,
May,,,4.16,,,,,,,
June,,,2.02,,,,,,,
July,,,3.17,,,,,,,
August,,,2.57,,,,,,,
September,,,0.81,,,,,,,
October,,,3.64,,,,,,,
November,,,1.73,,,,,,,
December,,,2.54,,,,,,,
Total,,24.85,28.27,,,,,,,
,,,,,,,,,,
NGR is Wexford Road Oxton. Altitudes match.,,,,,,,,,,
Wexford Road is about 300m long,,,,,,,,,,
