BOTTESFORD,,,,,,,,,,,,,,,,,,,,
Grid ref,SK809387,Long,-0.79766024,Lat,52.939607,Elevation,105,ft,,,,,,,,,,,,
Station no,RR6617,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,1.39,2.11,1.42,0.71,1.07,0.89,,,,,
February,,,,,,,,,,1.27,0.7,0.06,1.49,2.15,1.54,,,,,
March,,,,,,,,,2.69,3.03,1.44,0.85,0.7,0.31,0.46,,,,,
April,,,,,,,,,1.97,2.83,0.31,2.56,0.82,0.28,1.15,,,,,
May,,,,,,,,,0.47,5.07,2.18,2.75,1.82,1.34,1.69,,,,,
June,,,,,,,,,1.53,0.82,1.13,1.93,2.05,0.84,2.41,,,,,
July,,,,,,,,,4.2,2.65,2.23,2.62,1.49,2.53,3.63,,,,,
August,,,,,,,,,1.99,2.97,2.47,3.08,1.19,0.9,2.51,,,,,
September,,,,,,,,,1.33,2.27,0.96,1.36,2.36,0.77,0.41,,,,,
October,,,,,,,,,0.6,2.68,0.85,3.87,4.6,1,2.61,,,,,
November,,,,,,,,,2.75,0.38,2.27,2.23,0.71,1.75,1.93,,,,,
December,,,,,,,,,1.49,1.48,0.57,2.67,0.55,1.77,1.46,,,,,
Total,,,,,,,,,,26.84,17.22,25.4,18.49,14.71,20.69,,,,,
