SCARINISH HYNISH,,,,,,,,,,,,,,,,,,,,
Grid ref,NL 98473 39125,Long,-6.895113,Lat,56.447548,Elevation,65,ft,,,,,,,,,,,,
Station no,5455,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,6.8,6.77,2.55,4.18,3.57,4.43,5.77,8.54,5.2,,,,,
February,,,,,,,4.76,3.42,4.9,4.41,2.88,4.65,4.22,1.23,2.3,,,,,
March,,,,,,,2.5,4.74,4.26,1.09,0.65,3.43,4.25,1.66,3.46,,,,,
April,,,,,,,1.39,4.85,2.28,2.48,2.34,3.24,3.44,1.39,2.22,,,,,
May,,,,,,,2.21,3.46,3.27,0.64,2.02,1.01,2.85,2.4,2.39,,,,,
June,,,,,,,1.64,2.73,1.49,1.48,1.97,1.24,4.75,2.6,1.81,,,,,
July,,,,,,,1.54,3.65,2.31,2.48,2.66,5.04,1.72,7.2,2.09,,,,,
August,,,,,,,2.37,2.63,2.49,1.93,1.6,2.87,3.44,4.48,2.77,,,,,
September,,,,,,,5.19,2.61,1.12,5.26,3.99,2.68,7.42,2.2,7.08,,,,,
October,,,,,,,2.34,2.82,5.42,3.3,4.93,5.07,5.45,5.54,4.05,,,,,
November,,,,,,,6.04,2.64,3.59,6.1,3.06,3.97,5.33,1.81,2.2,,,,,
December,,,,,,,7.78,0.73,3.28,5.09,2.01,4.65,3.5,3.09,1.12,,,,,
Total,,,,,,,44.56,41.05,36.96,38.44,31.68,42.28,52.14,42.14,36.69,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5455,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
