"TIREE, HYNISH HOUSE",,,,,,,,,,,,,,,,,,,,,
Grid ref,NL 98473 39125,Long,-6.895113,Lat,56.447548,Elevation,65,ft,,,,,,,,,,,,,
Station no,5455,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,7.37,1.65,5.7,4.61,,,,,,,,,
February,,,,,,,,,3.64,2.66,0.39,4.38,,,,,,,,,
March,,,,,,,,,4.2,0.6,2.55,1.21,,,,,,,,,
April,,,,,,,,,1.94,1.8,2.26,1.99,,,,,,,,,
May,,,,,,,,,0.86,3.56,1.27,2.79,,,,,,,,,
June,,,,,,,,,2.56,2.85,3.79,3.41,,,,,,,,,
July,,,,,,,,,2.3,3.13,2.18,3.54,,,,,,,,,
August,,,,,,,,,2.33,4.5,4.72,1.08,,,,,,,,,
September,,,,,,,,,3.4,2.64,2.4,1.93,,,,,,,,,
October,,,,,,,,,6.58,6.68,6.19,3.88,,,,,,,,,
November,,,,,,,,2.53,5.62,4.54,5.44,5.51,,,,,,,,,
December,,,,,,,,0.72,5.57,6.77,4.63,3.23,,,,,,,,,
Total,,,,,,,,,46.37,41.38,41.52,37.56,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5455,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,
