HEATHFIELD-THE-WHITE-COTTAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ604210,Long,0.28291,Lat,50.966094,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,2.61,1.02,3.27,1.51,3.09,5.15,1.02,3.6,1.46,1.52,3.87,5.48,3.7,2.88,4.54,1.48,2.66,3.44,3.9,2.39,4.9,1.21,3.86,2.41,3.1,2.21,3.06,1.12,4.77,6.12,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.24,0.38,3.68,1.59,2.72,1.22,3.87,4.77,4.86,1.02,1.09,2.65,0.67,0.79,2.49,4.23,0.89,3.48,2.68,3.65,1.57,0.86,1.81,2.25,0.35,2.36,0.16,4.33,2.37,5.22,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,2.69,3.97,1.79,2.86,4.65,2.62,5.81,0.71,4.28,1.68,1.11,4.45,2.34,2,2.16,2.24,1.68,1.23,0.47,3.98,2.13,0,1.64,0.53,1.53,2.58,3.12,0.74,1.54,4.59,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.25,1.76,1.83,1.75,0.15,3.98,1.3,1.83,1.85,1.91,2.63,2.97,3.22,1.43,3.11,2.93,3.04,3.13,3.78,1.96,2.95,0.96,2.1,3.68,2.58,1.21,2.32,3.57,2.25,3.05,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.25,1.22,2.57,0.73,1.25,1.11,0.89,3.9,2,2.09,1.46,0.38,1.5,1.82,0.59,4.16,4.26,2.92,2.97,0.71,1.66,1.97,3.01,2.31,2.75,1.36,0.57,2.03,0.4,2.27,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,1.25,2,2.49,2.57,3.12,1.26,1.52,1.32,2.48,3.39,1.1,0.65,1.5,0.03,1.81,0.5,1.89,0.19,3.93,6.22,3.08,1.43,1.18,1.51,1.46,1.88,1.24,1.95,2.73,2,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,3.81,2.71,2.22,0.25,1.46,3.33,1.95,4.76,0.87,3.89,4.4,1.93,5.03,0.3,2.86,2.79,3.68,4.54,2.69,2.93,1.52,1.75,2.56,3.3,4.27,2.47,1.82,0.11,3.54,1,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,3.48,3.09,2.12,0.78,8.25,1.51,1.11,1.8,3.48,6.7,1.54,3.82,1.48,0.85,3.13,1.96,5.04,2.28,2.14,4.81,1.4,2.37,3.58,4.49,0.59,1.23,2.29,4.51,0.83,1.51,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.53,3.24,0.21,1.66,3.13,1.9,1.24,2.73,1.73,1.54,5.84,0.94,3.51,0.57,2.54,3.02,2.8,2.87,0.66,4.95,0.47,1.39,3.34,1.82,2.76,4.13,1.61,4.97,2.13,1.92,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.01,8.39,3.73,6.78,4.29,5.47,2.7,3.31,5.67,4.83,3.46,0.66,1.9,0.98,1.5,6.62,5.73,4.4,2.64,2.51,7.43,4.12,1.89,0.72,7.53,1.89,1.74,4.24,1.62,3.95,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
