CLARKSTON (ROUGHRIGG RESERVOIR) NO. 2,,,,,,,,,,
Grid ref,NS804641,Long,-3.912166,Lat,55.855212,Elevation,694,ft,,
Station no,5182/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,1.9,4.12,3.06,1.29,2.77
February,,,,,,1.81,2.89,2.08,1.51,2.86
March,,,,,,2.4,3.22,1.44,0.91,1.68
April,,,,,,0.82,1.82,1.22,2.62,2.17
May,,,,,,1.77,2.54,3.15,1.08,2.21
June,,,,,,3.06,2.59,3.35,2.76,2.12
July,,,,,,5.04,4.22,5.29,4.58,3.21
August,,,,,,4.55,4.66,4.89,1.11,3.41
September,,,,,,4.64,2.48,3.29,1.19,2.28
October,,,,,2.92,2.79,3.17,2.77,3.56,3.09
November,,,,,1.83,1.29,2.17,1.83,5.41,4.35
December,,,,,5.46,3.63,3.54,5.24,4.42,3.91
Total,,,,,,33.7,37.42,37.61,30.44,34.06
