ROUGHRIGG RESERVOIR NO 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS804639,Long,-3.912078,Lat,55.853416,Elevation,664,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,,4.79,1.73,1.94,1.13,3.94,1.58,2.7,1.22,1.71,5.56,2.95,1.59,,,,,,,,
February,,,,,,,,,,,0.85,0.74,2.9,3.95,9.28,0.54,0.8,1.79,1.75,1.19,2.38,1.22,,,,,,,,
March,,,,,,,,,,,2.6,3.82,0.62,0.85,2.81,2.77,4.46,2.97,1.26,2.82,0.63,2.13,,,,,,,,
April,,,,,,,,,,,1.6,0.33,0.88,2.47,1.33,1.46,1.85,1.63,2.2,1.96,1.58,1.5,,,,,,,,
May,,,,,,,,,,,3.42,1.98,4.59,2.23,3.1,0.81,0.75,1.79,1.96,2.97,1.79,2.22,,,,,,,,
June,,,,,,,,,,,3.68,1.43,5.26,2.66,3.5,2.4,4.61,5.28,1.93,1.92,5.34,2.43,,,,,,,,
July,,,,,,,,,,,3.65,2.1,1.76,2.85,5.27,6.14,4.2,1.4,1.56,3.61,2.79,1.61,,,,,,,,
August,,,,,,,,,,,5.65,5.25,6.7,3.36,4.44,5.71,2.64,3.34,3.09,1.4,4.06,4.25,,,,,,,,
September,,,,,,,,,,,3.88,5.81,6.23,2.65,0.9,1.54,4.97,2.69,5.88,4.58,2.99,1.72,,,,,,,,
October,,,,,,,,,,,3.48,3.15,3.55,4.71,2.84,4.79,3.27,1.29,3.28,2.93,4.67,3.74,,,,,,,,
November,,,,,,,,,,,5.86,2.84,3.18,2.94,3.83,3.09,1.28,2.78,3.59,3.45,7.09,2.72,,,,,,,,
December,,,,,,,,,,2.15,1.78,6.57,2.04,4.35,3.56,3.92,4.11,4.07,3.45,2.65,3.26,3.4,,,,,,,,
Total,,,,,,,,,,,41.24,35.75,39.65,34.15,44.8,34.75,35.64,30.25,31.66,35.04,39.53,28.53,,,,,,,,
