CLARKSTON (ROUGHRIGG RES.) No1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS804639,Long,-3.912078,Lat,55.853416,Elevation,664,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.77,5.73,3.55,2.1,3.08,2.42,3.86,4.43,3.92,2.15,1.97,3.8,2.75,2.23,4.81,1.89,3.5,3.17,4.86,6.92,3.74,3.71,3.03,2.97,4.19,4.66,6.68,1.13,4.08,2.76,8.83,2.91,3.52,1.61,3.84,3.14,4.98,4.51,1.3,0.88,3.97,3.67,4.08,2.2,3.6,3.22,6.82,3.48,2.25,4.12,2.95,1.74,4.04,2.09,1.99,4.49,3.31,1.35,2.8
February,0.94,6.24,2.19,2.19,2.22,2.62,1.96,2.47,3.79,4.98,2.28,1.89,3.51,3.88,4.77,1.12,4.21,1.25,4.26,0.61,2.83,3.31,0.57,3,4.11,2.07,2.93,1.43,0.18,3.38,0.07,2.87,0.25,3.33,2.83,4.42,0.99,4.51,1.31,2.95,1.33,3.53,1.3,5.25,2.28,1.5,3.72,4.02,3.83,2.03,1.06,1.41,2.58,1.41,1.51,3.13,2.04,1.6,2.97
March,2.38,6.74,1.5,4.2,2.86,3.32,4.21,3.73,1.69,1.65,4.03,4.1,4.4,1.99,2.31,2.15,1.23,1.82,3.12,4.43,2.14,1.23,0.58,2.18,2.47,2.81,1.8,0.94,1.95,1.11,2.43,1.66,3.35,2.03,2.41,1.15,2.75,3.35,3.9,2.84,1.48,2.03,0.5,2.43,2.55,2.84,2.49,1.56,3.61,3.26,2.02,1.21,2.04,1.9,2.38,3.35,1.51,1.51,1.72
April,0.68,1.33,4.42,2.59,1.04,1.77,1.79,3.59,3.81,2.27,1.09,2.9,2.01,2.21,3.8,1.28,0.47,2.21,2.12,1.22,1.57,3.43,1.93,3.56,1.76,2.76,0.98,1.91,1.19,2.48,2.72,1.92,4.59,2.99,1.45,1.45,0.46,1.92,2.62,1.68,2.15,2.13,2.58,1.75,1.15,4.44,2.92,2.7,2.91,2.26,1.98,2.26,1.63,1.24,0.74,1.7,1.26,2.61,2.2
May,1.42,1.69,2.97,1.05,5.15,3.87,2.82,2.79,2.15,1.5,1.32,3.19,2.68,1.55,5.74,2.62,2.48,0.69,3.76,2.04,3.46,2.54,4.34,4.02,3.04,2.3,1.88,2.51,1.49,3.01,2.96,2.89,2.39,0.51,0.96,1.87,4.75,1.04,1.84,4.96,2.62,4.54,2.6,3.75,1.7,3.28,1.92,1.56,1.31,1.85,1.43,1.83,3.02,2.9,1.69,2.21,3.17,0.94,1.99
June,2.56,2.03,1.48,0.83,1.42,3.79,1.81,2.36,1.77,1.43,4.68,2.68,0.82,2.65,3.89,2.83,1.25,3.24,1.3,0.83,2.29,1.29,1.99,0.58,2.34,3.33,3.74,2.56,2.43,6.1,1,2.52,2.64,3.59,1.55,3.35,4.66,2.25,1.09,0.79,1.35,4.15,3.01,4.06,2.41,3.73,5.71,0.99,2.73,2.91,2.78,1.93,2.89,1.95,2.91,2.4,3.16,2.56,1.97
July,3.75,3.91,3.02,4.01,2.05,2.94,3.61,3.89,4.17,3.05,2.06,0.87,2.85,3.79,5.22,2.33,2.86,1.12,4.4,3.36,3.45,5.99,3.44,1.8,3.94,2.63,2.3,2.89,5.71,4.8,3.43,4.76,3.33,1.99,4.62,3.85,4.58,4.83,5.32,3.35,3.33,2.35,3.5,2.82,4.03,2.3,2.58,2.11,4.98,3.59,2.45,4.69,3.78,1.23,4.83,4.09,5.28,4.36,3.04
August,2.3,5.85,4.11,3.14,5.65,4.93,3.01,3.31,5.95,1.93,4.86,1.85,3.78,3.39,3.86,5.6,3.11,2.83,4.52,6.83,2.7,7.48,4.45,3.97,2.76,5.63,4.1,4.74,4.74,3.4,1.29,2.72,3.7,2.54,3.19,4.33,3.18,1.52,2.04,3.68,3.73,4.8,4.75,2.15,3.31,0,7.04,3.91,4.19,4.56,3.26,2.75,5.42,1.53,4.28,4.51,4.84,0.97,3.32
September,3.4,2.84,3.24,2.75,2.04,1.11,5.25,2.15,1.23,1.93,2.59,2.25,1.6,1.67,1.65,2.21,5.05,3.7,2.52,2.65,2.58,5.22,3.57,4.17,3.96,6.42,3.34,1.52,2.74,1.11,5.01,1.41,3.63,4.94,4.72,1.99,4.06,2.13,4.06,0.84,3.99,2.4,5.36,6.58,7.33,3.96,6.03,1.46,8.95,3.02,2.07,3.02,5.46,3.27,4.57,2.46,3.27,1.12,2.3
October,1.7,7.16,1.53,2.06,7.23,9.02,1.03,5.42,1.91,3.48,3.08,2.21,2.07,2.36,6.26,4.78,4.5,1.56,1.52,5.09,2.12,5.23,3.38,2.63,5.15,4.24,5.15,4.12,5.44,3.24,5.56,3.05,5.1,7.87,3.7,3.86,6.65,2.39,2.95,3.39,5.02,5.32,4.25,4.93,0.49,1.52,4.98,5.51,2.58,1.03,2.82,2.29,9.11,2.93,2.92,3.09,2.72,3.49,3
