CLARKSTON (ROUGHRIGG RES.) No1,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS804639,Long,-3.912078,Lat,55.853416,Elevation,664,ft,,,,,,,,,,,,,,
Station no,5182,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901
January,,,,,5.42,2.35,1.68,2.09,2.26,2.28,4.79,2.09,1.87,0.85,3.5,0.77,2.21,1.23,2,6.08,3.35,1.91
February,,,,,2.18,1.43,1.1,0.82,2.04,1.64,0.84,0.8,1.98,3.36,8.32,0.65,0.5,2.32,2.5,1.27,3.03,1.35
March,,,,,1.09,1.82,3.3,1.51,0.99,2.15,2.6,3.63,0.5,0.86,2.61,1.99,4.4,3.18,1.42,3.18,0.68,2.23
April,,,,,1.65,1.8,0.61,2.15,2.34,2.24,1.69,0.32,0.77,1.61,1.14,1.21,1.82,1.65,2.38,2.2,1.88,1.72
May,,,,,1.6,2.23,3.22,1.77,3.44,2.3,3.25,1.85,4.12,1.98,2.6,0.64,0.76,1.94,2.15,3.18,1.64,2.32
June,,,,,1.24,1.28,1.38,1.58,1.5,0,3.52,1.35,4.73,2.34,2.68,2.8,4.9,5.65,2.17,2.01,5.34,2.44
July,,,,,5.98,1.73,2.25,2.58,3.56,2.24,3.6,2,1.23,2.6,5,5.27,3.87,1.57,1.91,3.55,2.96,1.6
August,,,,,3.02,1.91,4,5.05,2.44,6,5.57,5.16,6.46,3.5,4.32,5.49,2.55,3.25,3.14,1.15,4.08,4.49
September,,,,2.66,2.65,5.53,2.52,1.68,0.98,1.54,4.1,5.4,5.78,2.62,0.7,1.51,4.51,2.81,6.51,4.9,3,1.6
October,,,,4.19,3.19,2.56,3.55,2.48,1.79,3.48,3.84,2.4,3.25,4.66,2.1,4.6,2.86,1.31,3.55,3.03,5.2,3.79
November,,,,3,1.69,1.57,3.13,3.11,7.31,1.73,5.74,2.42,3.12,2.95,3.58,2.75,1.1,3.03,3.95,3.6,7.19,3.43
December,,,,4.28,4.06,2.3,1.42,2.31,1.48,2.36,1.64,5.87,1.95,3.76,3.16,3.54,4.5,5.07,4.4,2.7,4.01,3.6
Total,,0,,,33.77,26.51,28.16,27.13,30.13,27.96,41.18,33.29,35.76,31.09,39.71,31.22,33.98,33.01,36.08,36.85,42.36,30.48
,,,,,,,,,,,,,,,,,,,,,,
Data believed to be poor given comments on sheets,,,,,,,,,,,,,,,,,,,,,,
