"CLARKSTON (ROUGHRIGG RES.)",,,,,,,,,,,,
Grid ref,NS804639,Long,-3.912078,Lat,55.853416,,,,,,,
Station no,5182,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.12,2.95,1.74,4.04,2.09,1.99,4.49,3.31,1.35,2.80,,
February,2.03,1.06,1.41,2.58,1.41,1.51,3.13,2.04,1.60,2.97,,
March,3.26,2.02,1.21,2.04,1.90,2.38,3.35,1.51,1.51,1.72,,
April,2.26,1.98,2.26,1.63,1.24,0.74,1.70,1.26,2.61,2.20,,
May,1.85,1.43,1.83,3.02,2.90,1.69,2.21,3.17,0.94,1.99,,
June,2.91,2.78,1.93,2.89,1.95,2.91,2.40,3.16,2.56,1.97,,
July,3.59,2.45,4.69,3.78,1.23,4.83,4.09,5.28,4.36,3.04,,
August,4.56,3.26,2.75,5.42,1.53,4.28,4.51,4.84,0.97,3.32,,
September,3.02,2.07,3.02,5.46,3.27,4.57,2.46,3.27,1.12,2.30,,
October,1.03,2.82,2.29,9.11,2.93,2.92,3.09,2.72,3.49,3.00,,
November,5.56,2.49,6.34,5.58,1.80,1.79,2.15,1.84,5.40,4.50,,
December,5.00,3.64,3.95,4.83,5.62,3.97,3.78,5.31,4.44,4.04,,
Total,39.19,28.95,33.42,50.38,27.87,33.58,37.36,37.71,30.35,33.85,,
Calc annual,39.19,28.95,33.42,50.38,27.87,33.58,37.36,37.71,30.35,33.85,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
