BRIGHTON-PRESTON-DITCHLING-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ313068,Long,-0.13635003,Lat,50.845832,Elevation,302,ft,,,,,,,,,,,,
Station no,RR7709,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.67,1.27,2.88,1.81,3.07,5.74,0.92,4.42,2,,,
February,,,,,,,,,1.32,0.36,3.84,1.8,2.92,1.18,3.93,4.46,5.35,,,
March,,,,,,,,,2.05,4.26,1.88,2.75,4.62,2.72,5.56,0.95,3.77,,,
April,,,,,,,,,2.13,1.27,2.18,1.98,0,3.35,1.56,1.74,1.28,,,
May,,,,,,,,,1.84,1.29,2.33,0.76,1.35,2.08,1,4,2.32,,,
June,,,,,,,,,1.17,2.41,3.4,2.31,3.46,0.69,1.17,0.77,3.01,,,
July,,,,,,,,,3.2,2.98,2.63,0.49,1.04,4.6,2.11,4.86,0.89,,,
August,,,,,,,,,2.97,3.38,2.97,0.44,6.6,2.6,1.03,1.87,1.67,,,
September,,,,,,,,,1.89,3.5,0.18,1.93,3.12,2.11,1.61,2.64,2.26,,,
October,,,,,,,,,1.35,9.42,3.2,5.78,3.89,4.84,2.69,3.89,4.67,,,
November,,,,,,,,,1.28,1.31,5.99,7,2.5,4.85,4.04,3.6,4.86,,,
December,,,,,,,,,3.71,4.84,3.37,6.81,4.74,1.88,8.9,9.71,5.1,,,
Total,,,,,,,,,24.58,36.29,34.85,33.86,37.31,36.64,34.52,42.91,37.18,,,
