"HURSTMONCEAUX PLACE",,,,,,,,,,,,
Grid ref,TQ639111,Long,0.328265,Lat,50.876159,,,,,,,
Station no,541,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.79,1.16,1.42,0.92,,
February,,,,,,,2.15,1.53,1.27,0.47,,
March,,,,,,,1.65,0.75,2.26,3.12,,
April,,,,,,,1.45,2.90,2.05,1.80,,
May,,,,,,,2.36,2.26,1.48,1.24,,
June,,,,,,,1.42,2.01,1.17,1.19,,
July,,,,,,,0.55,1.65,3.21,2.28,,
August,,,,,,,0.79,1.45,2.82,2.72,,
September,,,,,,,1.40,0.57,2.41,2.42,,
October,,,,,,,4.47,5.68,1.61,6.73,,
November,,,,,,,6.14,3.16,0.99,1.02,,
December,,,,,,,2.43,2.59,2.94,5.28,,
Total,,,,,,,28.60,25.71,23.63,29.19,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,28.60,25.71,23.63,29.19,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
