"MANCHESTER, EMBDEN ST",,,,,,,,,,,,,,,,,,,,
Grid ref,SJ835961,Long,-2.2499813,Lat,53.461385,Elevation,112,ft,,,,,,,,,,,,
Station no,RR6962,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,4,4.88,1.66,4.68,2.2,1.85,1.17,3.73,3.11,,,,,,,,
February,,,,2.56,1.49,2.56,0.98,0.45,1.5,2.16,0.4,0.2,,,,,,,,
March,,,,1.07,2.2,2.31,2.36,1.85,1.5,3.16,3.08,2.3,,,,,,,,
April,,,,1.67,0.7,1.11,1.55,1.38,1.73,2.32,0.58,2.27,,,,,,,,
May,,,,0.89,1.5,1.94,5.83,3.39,1.01,2.51,2.64,2.33,,,,,,,,
June,,,,3.92,0.96,3.48,1.71,1.29,4.34,0.56,3.87,3.35,,,,,,,,
July,,,,2.68,3.98,1.4,4.96,0.85,6.72,3.21,3.02,2.29,,,,,,,,
August,,,,3.31,1.73,1.99,3.02,1.45,3.38,6.57,5.16,6.7,,,,,,,,
September,,,,5.43,3.04,4.73,3.95,4.3,1.96,3.41,0.9,3.43,,,,,,,,
October,,,,5.19,2.49,5.39,5.55,1.97,1.91,3.32,2.66,4.75,,,,,,,,
November,,,,3.33,1.6,2.66,2.64,1.08,5.95,1.93,7.83,2.81,,,,,,,,
December,,,,2.88,3.59,2.82,5.16,2.65,2.78,2.61,0.39,6.88,,,,,,,,
Total,,,,36.93,28.16,32.05,42.39,22.86,34.63,32.93,34.26,40.42,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Observer, James Hart, lived at 131 Embden St in 1891",,,,,,,,,,,,,,,,,,,,
