BROADSTAIRS,,,,,,,,,,,,
Grid ref,TR398680,Long,1.443154,Lat,51.360418,,,,,,,
Station no,RR8306,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.34,3.00,,,,,,,
February,,,,1.52,1.91,,,,,,,
March,,,,2.03,1.51,,,,,,,
April,,,,2.54,0.99,,,,,,,
May,,,,2.30,2.69,,,,,,,
June,,,,4.10,0.73,,,,,,,
July,,,,3.95,1.56,,,,,,,
August,,,,4.04,1.68,,,,,,,
September,,,,2.03,1.70,,,,,,,
October,,,,4.63,2.03,,,,,,,
November,,,,3.69,1.51,,,,,,,
December,,,,1.74,2.25,,,,,,,
Total,,,,34.91,21.56,,,,,,,
Calc annual,0.00,0.00,0.00,34.91,21.56,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,-0.00,-0.00,NaN,NaN,NaN,NaN,NaN,,
