DULYN NO. 1,,,,,,,,,,,,
Grid ref,SH702663,Long,-3.943624,Lat,53.177924,,,,,,,
Station no,4353/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.10,11.30,3.63,6.39,6.10,5.40,12.75,12.45,12.75,15.85,,
February,10.30,6.00,3.71,7.65,5.50,1.14,10.67,13.75,1.55,15.25,,
March,11.30,4.40,3.52,7.00,3.54,5.99,6.25,3.15,4.25,1.73,,
April,6.10,4.80,7.43,2.35,4.07,2.87,0.82,2.89,8.60,4.50,,
May,4.60,3.30,4.47,7.20,7.60,2.62,4.97,10.10,2.40,4.20,,
June,2.60,6.20,3.18,5.20,6.10,6.22,1.49,4.25,3.95,4.75,,
July,3.00,3.29,5.38,9.42,1.35,12.35,13.92,8.96,3.65,8.17,,
August,8.60,7.60,4.87,8.50,1.70,15.50,11.95,5.25,1.40,7.40,,
September,10.46,11.62,8.95,8.47,5.33,7.15,11.24,11.95,1.10,7.40,,
October,2.70,10.90,4.76,15.50,7.20,8.20,10.35,9.15,11.75,5.15,,
November,16.10,11.80,8.38,17.77,4.70,5.80,6.25,2.30,13.75,22.20,,
December,18.50,9.70,3.50,7.37,8.65,9.62,8.85,6.08,16.50,11.98,,
Total,102.36,90.91,61.78,102.82,61.84,82.86,99.51,90.28,81.65,108.58,,
Calc annual,102.36,90.91,61.78,102.82,61.84,82.86,99.51,90.28,81.65,108.58,,
Difference,-0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
