ISLE OF CUMBRAE,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 159 547,Long,-4.934822,Lat,55.751141,Elevation,50,ft,,,,,,,,,,,,
Station no,RR2168,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,,,5.8,4.3,5.7,6,2.8,3.2,6.6,3,5.5,
February,,,,,,,,,,,3.8,2.2,2.1,2.4,3.4,2.7,5.2,3,6,
March,,,,,,,,,,,3.9,5.7,2.9,1.7,2.65,1.7,2,1.7,5.1,
April,,,,,,,,,,,2.1,0.2,3,3.2,1.4,0.5,1.7,4,2.8,
May,,,,,,,,,,,2.8,1.5,5,3.3,1.6,3.5,1.5,2.6,2.8,
June,,,,,,,,,,1.3,3.6,2.5,3.4,4.3,2,1.1,2.2,2.5,1.2,
July,,,,,,,,,,2.5,2.1,4,5.3,0.3,2.5,2,2.6,3.3,0.8,
August,,,,,,,,,,3.6,4.4,9.3,3.5,4.2,2.2,6.3,5.4,3.2,5.3,
September,,,,,,,,,,5.6,1.4,4.8,2.1,4.6,5.3,0.9,5,3.1,1.9,
October,,,,,,,,,,3.3,5.4,4.3,7.2,3.4,1.9,3.5,3.3,4,5.2,
November,,,,,,,,,,3,2.2,5.1,2.4,3.7,4.4,2.9,4.1,1,4.5,
December,,,,,,,,,,2,3.2,3.3,5.8,5.3,2,4,4.8,3,6.8,
Total,,,,,,,,,,,40.7,47.2,48.4,42.4,32.15,32.3,44.4,34.4,47.9,
,,,,,,,,,,,,,,,,,,,,
Location approximate,,,,,,,,,,,,,,,,,,,,
