KINETON BURTON DASSETT VICARAGE,,,,,,,,,,
Grid ref,SP391526,Long,-1.429708,Lat,52.170284,Elevation,364,ft,,
Station no,RR8269,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,3.37,0.95,0.83,1.96,2.53,,,,,
February,5,1.55,1.04,0.98,4.29,,,,,
March,0.75,1.75,0.76,3.02,1.55,,,,,
April,0.83,2.34,2.01,1.65,1.09,,,,,
May,,1.14,2.12,2.42,,,,,,
June,1.94,1.29,2.48,2.74,0.79,,,,,
July,1.31,2.97,1.39,3.34,3.08,,,,,
August,2.79,2.41,3.29,2.78,1.82,,,,,
September,,1.31,1.87,1.71,1.95,,,,,
October,1.05,1.5,2.17,5.88,0.1,,,,,
November,1.77,0.68,1.68,1.85,0.7,,,,,
December,3.8,3.71,1.47,1.1,1.44,,,,,
Total,,21.6,21.11,29.43,,,,,,
,,,,,,,,,,
1904 May and total estimated therefore removed,,,,,,,,,,
