"EDINBURGH (PORTOBELLO)",,,,,,,,,,,,
Grid ref,NT302728,Long,-3.119097,Lat,55.943155,,,,,,,
Station no,5139/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.42,0.33,2.20,1.79,1.48,2.90,1.07,0.62,2.77,,
February,,0.43,0.65,1.35,1.28,1.85,2.76,1.75,0.41,2.42,,
March,,0.99,0.35,1.09,1.64,1.01,1.73,1.77,0.44,1.29,,
April,,1.27,1.78,1.28,0.49,0.57,0.67,1.54,2.12,0.77,,
May,2.90,1.76,1.38,5.04,1.74,0.70,1.51,2.06,0.56,1.27,,
June,2.05,2.02,1.11,2.34,0.66,2.66,1.19,2.75,2.30,1.02,,
July,3.67,2.27,4.14,1.79,1.77,4.73,4.01,6.79,3.03,2.86,,
August,5.54,3.58,2.09,5.02,0.92,6.92,2.83,3.08,0.33,3.84,,
September,0.97,1.83,2.18,2.77,1.56,3.24,1.47,2.38,0.56,0.98,,
October,0.43,1.51,1.21,6.17,1.53,1.49,1.71,1.05,1.26,2.86,,
November,3.74,2.09,3.10,2.40,0.64,0.58,3.08,1.06,4.69,2.31,,
December,2.04,2.42,3.15,2.51,3.87,2.35,2.13,3.70,2.37,2.54,,
Total,,22.59,21.47,33.96,17.89,27.58,25.99,29.00,18.69,24.93,,
Calc annual,21.34,22.59,21.47,33.96,17.89,27.58,25.99,29.00,18.69,24.93,,
Difference,NaN,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
