GLEN PROSEN (CORMUIR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO306667,Long,-3.137548,Lat,56.786662,Elevation,870,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5606/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.7,5.5,4.6,4.2,1.8,5.7,11.8,9.8,4.6,3.21,3.2,5.4,7.8,4,3.4,4.8,6.2,7.2,3,,5,2.2,1.5,,2.9,3.5,4.2,3.8,3.3,4.1
February,3.5,0.3,5.5,0.6,4,4,4,2.5,6,3.7,5.4,2.1,3.9,1.9,4.2,3,3.5,4.2,,,2.5,1.5,1.6,,2.5,1.8,5.3,3.4,1.4,6.4
March,1.8,3.4,3.1,3.6,2.4,4.1,3.6,0.9,3.3,3.4,2.3,4,1.1,1.8,2,2.8,5.5,3,,,2.2,5.5,1.5,,2.5,2.9,3.2,4,3.3,4.6
April,3.2,4.7,1.6,6,5,1.1,2.2,0.4,1.5,3.4,2.2,4.4,2.4,2.9,1.9,0.5,5.6,2,,3.2,3.4,2.3,1.6,,1.4,,1.3,0.9,3.3,3.6
May,5.4,4,2,3.2,1.2,1.2,2.9,4.1,2,2.1,2.2,6.7,5,3.3,6,2.1,5.5,4.3,,1.2,1.3,5.2,2.5,,3,,3.1,3.9,1.1,2.4
June,5.4,2,1.4,1.2,5.3,1.7,2.3,5.8,2.3,0.4,1.8,1.3,2.8,3.3,4,3.6,4,5.2,,1.2,2.6,2.7,2.5,,2.5,,1.5,3.3,2.6,2.6
July,5.1,4.9,4.1,3.6,1,6.3,3.9,5.5,4.7,6.5,3,3.1,2.3,2.7,3.6,5.3,4.4,3,,6.7,3.2,3.1,3.4,2.9,0.5,,5.6,3.5,4.7,4.3
August,2,1.7,1.5,5.2,3.5,2.3,3.4,1.9,2.9,1.2,3.4,5.5,5.5,2,2.5,6.5,0.2,9,,8,5.4,2.1,2.5,2.1,1.1,,5.1,4.5,1.7,5.7
September,1.1,1.7,2.7,5.3,5.9,4.4,3,3.9,2.4,2.2,2,4,6,3.8,5.4,6,4.2,3.2,,6.8,3.4,1.2,4.8,4.6,0.9,,3,5.6,1,4
October,2.2,8.6,4.9,7.1,7.3,2.7,3.7,7.6,12,7,4.7,3.5,6,7.2,5.8,0.4,3.1,6,,3.1,1.2,6.1,3.7,6.3,2.5,,2.5,2.3,6.6,9.2
November,10.9,2.6,5.9,1.6,5.9,3.5,1.2,7.3,9,8,10.6,0.9,2.5,8.4,2.1,9,3.2,5,,4.5,13.5,2.5,3.8,11.2,2.6,,2.5,1.25,10.3,7
December,3.6,8.1,2,11,3.9,5.9,3.1,7.3,2.9,3.5,3,7.4,2.4,4.5,9.1,7.4,3,5,,2.5,5.7,2.75,5,4.4,8.2,,5.6,6.1,9.3,4.2
Total,47.9,47.5,39.3,52.6,47.2,42.9,45.1,57,53.6,44.61,43.8,48.3,47.7,45.8,50,51.4,48.4,57.1,,,49.4,37.15,34.4,,30.6,,42.9,42.55,48.6,58.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1945 P Jun Aug Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1947 P Mar Apr May Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1951 P Mar ON Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1952 P () Fe Mar Nov Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1953 P () Fe Au Se No De Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1954 NP too much est Ja-Jun Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1955 P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1956 NP too much Est Ap-De Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1957 P Sep Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1958 P Au OcT Nov Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1959 P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Br 1960 P Fe Mar Sep Oct Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5606/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,15028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,855473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
