GLEN PROSEN (CORMUIR),,,,,,,,,,,,
Grid ref,NO306667,Long,-3.137548,Lat,56.786662,,,,,,,
Station no,5606/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.00,2.20,1.50,2.90,2.90,3.50,4.20,3.80,3.30,4.10,,
February,2.50,1.50,1.60,5.60,2.50,1.80,5.30,3.40,1.40,6.40,,
March,2.20,5.50,1.50,5.20,2.50,2.90,3.20,4.00,3.30,4.60,,
April,3.40,2.30,1.60,1.30,1.40,0.90,1.30,0.90,3.30,3.60,,
May,1.30,5.20,2.50,6.10,3.00,1.40,3.10,3.90,1.10,2.40,,
June,2.60,2.70,2.50,2.30,2.50,3.70,1.50,3.30,2.60,2.60,,
July,3.20,3.10,3.40,2.90,0.50,5.00,5.60,3.50,4.70,4.30,,
August,5.40,2.10,2.50,2.10,1.10,6.80,5.10,4.50,1.70,5.70,,
September,3.40,1.20,4.80,4.60,0.90,5.50,3.00,5.60,1.00,4.00,,
October,1.20,6.10,3.70,6.30,2.50,4.20,2.50,2.30,6.60,9.20,,
November,13.50,2.50,3.80,11.20,2.60,1.60,2.50,1.25,10.30,7.00,,
December,5.70,2.75,5.00,4.40,8.20,8.30,5.60,6.10,9.30,4.20,,
Total,49.40,37.15,34.40,54.90,30.60,45.60,42.90,42.55,48.60,58.10,,
Calc annual,49.40,37.15,34.40,54.90,30.60,45.60,42.90,42.55,48.60,58.10,,
Difference,-0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,,
