"WHITTLESFORD SAWSTON VICARAGE - HALL",,,,,,,,,,,,
Grid ref,TL489493,Long,0.173520,Lat,52.121965,,,,,,,
Station no,RR4836,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.33,0.48,0.58,2.03,1.60,1.19,2.71,1.09,0.68,0.79,,
February,3.53,0.74,0.92,0.55,2.57,1.35,1.85,1.32,1.04,0.28,,
March,0.73,1.93,1.00,1.95,1.25,2.36,1.58,0.92,2.02,2.89,,
April,1.15,2.15,0.77,1.80,0.61,1.80,0.81,2.56,2.94,1.45,,
May,1.57,1.16,4.04,3.20,1.53,1.39,1.25,2.78,1.16,1.13,,
June,2.18,1.44,3.16,4.57,1.38,3.84,3.32,2.35,0.92,3.52,,
July,1.39,2.01,0.89,3.94,3.32,1.32,1.75,1.60,2.73,2.92,,
August,2.66,1.87,3.72,2.86,2.08,2.73,1.15,2.77,1.89,2.07,,
September,0.41,1.43,0.70,2.56,1.27,2.07,0.87,0.81,1.90,1.93,,
October,2.04,2.76,1.13,4.59,1.00,1.39,3.46,2.39,1.27,3.46,,
November,1.90,1.18,1.15,2.39,0.99,1.75,3.44,2.35,0.81,0.53,,
December,2.04,2.51,1.18,1.24,1.71,0.65,2.13,2.85,1.62,2.78,,
Total,21.93,19.66,19.24,31.68,19.31,21.84,24.32,23.79,18.98,23.75,,
Calc annual,21.93,19.66,19.24,31.68,19.31,21.84,24.32,23.79,18.98,23.75,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
